52468; DEOTRIN ; DEOTRIN; NOT FOUND; LOC. 0.02 % 100 ML x 1; BNK
52470; DEOTRIN ; DEOTRIN; NOT FOUND; XAMP 0.02 % 100 ML x 1; BNK
47395; DERMICON ; DERMICON; NOT FOUND; SOLN TOP. 60 ML x 1; BNK
60332; DERMOSALIC ; DERMOSALIC; NOT FOUND; LOC. 30 ML x 1; BNK
60331; DERMOSALIC ; DERMOSALIC; NOT FOUND; POMADA 30 G x 1; BNK
48547; DERMOXIN ; DERMOXIN; NOT FOUND; POM. 10 G x 1; BNK
66491; DEXAZONA ; DEXAZONA; NOT FOUND; COLIRIO 5 ML x 1; BNK
43969; DEXAZONA ; DEXAZONA; NOT FOUND; CPR 0.50 MG x 10; BNK
46933; DEXAZONA ; DEXAZONA; NOT FOUND; CREME 0.10 % 15 G x 1; BNK
47538; DEXAZONA ; DEXAZONA; NOT FOUND; ELIXIR 0.50 MG 100 ML x 1 (/5ML); BNK
53983; DEXAZONA ; DEXAZONA; NOT FOUND; F.AMP 2 MG 1 ML x 2; BNK
71261; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); BNK
71260; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); BNK
57978; DIPROBETA ; DIPROBETA; NOT FOUND; AMP. 1 ML x 1; BNK
60381; DORIDINA ; DORIDINA; NOT FOUND; CPR RECUB. x 20; BNK
