76108; CALCIO D3 ; CALCIO D3; NOT FOUND; CAPS x 60; BNK
99485; CALCIO D600 ; CALCIO D600; NOT FOUND; CPR REVEST x 60; BNK
59162; CALMIPLAN ; CALMIPLAN; NOT FOUND; CPR REVEST x 10; BNK
59163; CALMIPLAN ; CALMIPLAN; NOT FOUND; CPR REVEST x 20; BNK
55966; CAPTOPIRIL ; CAPTOPIRIL; NOT FOUND; CPR 25 MG x 16; BNK
60327; CARBOFAN ; CARBOFAN; NOT FOUND; XAR. AD 250 MG 100 ML x 1 (/5ML); BNK
60328; CARBOFAN ; CARBOFAN; NOT FOUND; XAR. INF 100 MG 100 ML x 1 (/5ML); BNK
60330; CEFANAL ; CEFANAL; NOT FOUND; CPR 500 MG x 8; BNK
60329; CEFANAL ; CEFANAL; NOT FOUND; SUSP 250 MG 100 ML x 1 (/5ML); BNK
57338; CETOBETA ; CETOBETA; NOT FOUND; CREME 30 G x 1; BNK
57339; CETOBETA ; CETOBETA; NOT FOUND; POM. 30 G x 1; BNK
74537; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 30 MG 120 ML x 1 (/5ML); BNK
74538; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 15 MG 120 ML x 1 (/5ML; BNK
75707; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; BNK
33877; CLOTASSIO ; CLOTASSIO; NOT FOUND; XAR. 100 ML x 1; BNK
32607; COMPLEVITAN ; COMPLEVITAN; NOT FOUND; DRAG x 30; BNK
49784; COMPLEVITAN ; COMPLEVITAN; NOT FOUND; GOTAS 30 ML x 1; BNK
32608; COMPLEVITAN ; COMPLEVITAN; NOT FOUND; LIQD 100 ML x 1; BNK
57348; CREMEDERME ; CREMEDERME; NOT FOUND; CREME 20 G x 1; BNK
64764; CREMEDERME ; CREMEDERME; NOT FOUND; POM. 20 G x 1; BNK
