517601801111411, CAPTOCORD, CAPTOCORD, NOT FOUND, 12.5 MG COM CT BL AL PLAS INC X 15 , GLO
517601802116415, CAPTOCORD, CAPTOCORD, NOT FOUND, 12.5 MG COM CT BL AL PLAS INC X 30, GLO
517601803112413, CAPTOCORD, CAPTOCORD, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 15, GLO
517601804119411, CAPTOCORD, CAPTOCORD, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 30, GLO
517601805115411, CAPTOCORD, CAPTOCORD, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 15, GLO
517601806111418, CAPTOCORD, CAPTOCORD, NOT FOUND, 50 MG COM CT  BL AL PLAS INC X 30, GLO
517601903168410, CETOMICOSS, CETOMICOSS, NOT FOUND, 0.02 G/G CREM DERM CT BG AL X 20 G, GLO
517609701173117, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/G XAMP CT FR PLAS OPC X 100 ML, GLO
517601901114410, CETOMICOSS, CETOMICOSS, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, GLO
517601902110419, CETOMICOSS, CETOMICOSS, NOT FOUND, 200 MG COM CT 3 BL AL PLAS INC X 10, GLO
517610701165118, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA, CETOCONAZOL DIPROPIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.64 MG/G CREM DERM CT BG AL X 30 G, GLO
517608801166114, CICLOPIROX OLAMINA, CICLOPIROX OLAMINA, CICLOPIROX OLAMINA, 10 MG/G CREM DERM CT BG AL X 20 G , GLO
517608001135117, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 0.8 MG/ML XPE CT FR PLAS AMBX 120ML + CP MED , GLO
517608002131115, CLORIDRATO DE BROMEXINA, CLORIDRATO BROMEXINA, CLORIDRATO BROMEXINA, 1.6 MG/ML XPE CT FR PLAS AMBX 120ML + CP MED , GLO
517602103114411, CIPROFLOXATRIN, CIPROFLOXATRIN, NOT FOUND, 500 MG COM REV CT  BL AL PLAS INC X 14, GLO
517607902112119, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 14, GLO
517607903119117, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP), GLO
517602102118413, CIPROFLOXATRIN, CIPROFLOXATRIN, NOT FOUND, 500 MG COM REV CT  BL AL PLAS INC X 6, GLO
517607901116110, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 6 , GLO
517610101117112, CLORIDRATO DE DOXICICLINA, CLORIDRATO DOXICICLINA, CLORIDRATO DOXICICLINA, 100 MG COM REV CT BL AL PLAS INC X 15 , GLO
517614110021806, CLORIDRATO DE HIDROXIZINA, CLORIDRATO HIDROXIZINA, NOT FOUND, 10MG/5ML SOL OR CT FR PLAS AMB X 100 ML+ CP MED, GLO
517608401176112, CLORIDRATO DE NAFAZOLINA, CLORIDRATO NAFAZOLINA, CLORIDRATO NAFAZOLINA, 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML, GLO
517610801135113, CLORIDRATO DE HIDROXIZINA, CLORIDRATO HIDROXIZINA, NOT FOUND, 10MG/5ML SOL OR CT FR PLAS AMB X 100 ML, GLO
517610201111116, CLORIDRATO DE LOPERAMIDA, CLORIDRATO LOPERAMIDA, CLORIDRATO LOPERAMIDA, 2 MG COM CT BL AL PLAS INC X 12, GLO
517610202118114, CLORIDRATO DE LOPERAMIDA, CLORIDRATO LOPERAMIDA, CLORIDRATO LOPERAMIDA, 2 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), GLO
