517609001163119, DESONIDA , DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLO
517602401166411, DEXAMETRAT, DEXAMETRAT, NOT FOUND, 1MG/G CREM DERM BG AL C/10G, GLO
517609001163119, DESONIDA , DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLO
517602401166411, DEXAMETRAT, DEXAMETRAT, NOT FOUND, 1MG/G CREM DERM BG AL C/10G, GLO
517609001163119, DESONIDA , DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLO
517602401166411, DEXAMETRAT, DEXAMETRAT, NOT FOUND, 1MG/G CREM DERM BG AL C/10G, GLO
517609001163119, DESONIDA , DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLO
517602401166411, DEXAMETRAT, DEXAMETRAT, NOT FOUND, 1MG/G CREM DERM BG AL C/10G, GLO
517609001163119, DESONIDA , DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLO
517602401166411, DEXAMETRAT, DEXAMETRAT, NOT FOUND, 1MG/G CREM DERM BG AL C/10G, GLO
517609001163119, DESONIDA , DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLO
517602401166411, DEXAMETRAT, DEXAMETRAT, NOT FOUND, 1MG/G CREM DERM BG AL C/10G, GLO
517609001163119, DESONIDA , DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLO
517602401166411, DEXAMETRAT, DEXAMETRAT, NOT FOUND, 1MG/G CREM DERM BG AL C/10G, GLO
517610301132115, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 1MG/ML SOL OR CT FR PLAS AMB 120ML + CP MED, GLO
517609001163119, DESONIDA , DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLO
517602401166411, DEXAMETRAT, DEXAMETRAT, NOT FOUND, 1MG/G CREM DERM BG AL C/10G, GLO
517610301132115, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 1MG/ML SOL OR CT FR PLAS AMB 120ML + CP MED, GLO
517610601160416, DERMONASE, DERMONASE, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G, GLO
517609001163119, DESONIDA , DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLO
517602401166411, DEXAMETRAT, DEXAMETRAT, NOT FOUND, 1MG/G CREM DERM BG AL C/10G, GLO
517610301132115, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 1MG/ML SOL OR CT FR PLAS AMB 120ML + CP MED, GLO
517602401166411, DEXAMETRAT, DEXAMETRAT, NOT FOUND, 1MG/G CREM DERM BG AL C/10G, GLO
517609001163119, DESONIDA , DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLO
517610301132115, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 1MG/ML SOL OR CT FR PLAS AMB 120ML + CP MED, GLO
517610601160416, DERMONASE, DERMONASE, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G, GLO
517602401166411, DEXAMETRAT, DEXAMETRAT, NOT FOUND, 1MG/G CREM DERM BG AL C/10G, GLO
517609001163119, DESONIDA , DESONIDA, DESONIDA, 0.5 MG/G CREM DERM CT BG AL X 30 G, GLO
517610301132115, DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 1MG/ML SOL OR CT FR PLAS AMB 120ML + CP MED, GLO
517610601160416, DERMONASE, DERMONASE, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G, GLO
