517600401118419; ALBENIX; ALBENIX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 2; GLO
517600403137410; ALBENIX; ALBENIX; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 10 ML; GLO
517608701110117; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12 ; GLO
517608702117115; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; GLO
517606901112419; ANGITENS; ANGITENS; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; GLO
517606902119417; ANGITENS; ANGITENS; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; GLO
517606903115415; ANGITENS; ANGITENS; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; GLO
517610001112119; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; GLO
517610002119117; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 5; GLO
517601002111419; ANAGRIPE; ANAGRIPE; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL CT BL AL PLAS INC X 20; GLO
517601004139418; ANAGRIPE; ANAGRIPE; NOT FOUND; 100 MG + 2 MG + 2 MG/ML SOL OR GTS CT FR PLAS OPC X 20 ML; GLO
517601003132411; ANAGRIPE; ANAGRIPE; NOT FOUND; 200 MG + 3 MG + 3 MG/5ML SOL OR  CT FR VD AMB X 100 ML; GLO
517608601167419; AMPLOGIN; AMPLOGIN; NOT FOUND; 20MG/G + 30MG/G CREM VAG CT BG AL X 35G + 7 APL; GLO
