46336; CAPOTEN ; CAPOTEN; NOT FOUND; CPR 12.5 MG x 15; BMS
47699; CAPOTEN ; CAPOTEN; NOT FOUND; CPR 12.5 MG x 30; BMS
46305; CAPOTEN ; CAPOTEN; NOT FOUND; CPR 25 MG x 16; BMS
47700; CAPOTEN ; CAPOTEN; NOT FOUND; CPR 25 MG x 28; BMS
31884; CAPOTEN ; CAPOTEN; NOT FOUND; CPR 25 MG x 30; BMS
46306; CAPOTEN ; CAPOTEN; NOT FOUND; CPR 50 MG x 16; BMS
47701; CAPOTEN ; CAPOTEN; NOT FOUND; CPR 50 MG x 28; BMS
31885; CAPOTEN ; CAPOTEN; NOT FOUND; CPR 50 MG x 30; BMS
31004; CEFAMOX ; CEFAMOX; NOT FOUND; CAPS 500 MG x 48; BMS
31003; CEFAMOX ; CEFAMOX; NOT FOUND; CAPS 500 MG x 8; BMS
50109; CEFAMOX ; CEFAMOX; NOT FOUND; CPR REVEST 1 G x 10; BMS
51081; CEFAMOX ; CEFAMOX; NOT FOUND; SUSP 250 MG 100 ML x 1 (/5ML); BMS
53034; CEFAMOX ; CEFAMOX; NOT FOUND; SUSP 500 MG 100 ML x 1 (/5ML); BMS
51341; CEFZIL ; CEFZIL; NOT FOUND; CPR 500 MG x 10; BMS
30316; CITOSTAL ; CITOSTAL; NOT FOUND; CAPS 10 MG x 5; BMS
30317; CITOSTAL ; CITOSTAL; NOT FOUND; CAPS 40 MG x 5; BMS
45490; CORGARD ; CORGARD; NOT FOUND; CPR 40 MG x 30; BMS
30582; CORGARD ; CORGARD; NOT FOUND; CPR 80 MG x 20; BMS
61891; COUMADIN ; COUMADIN; NOT FOUND; CPR 1 MG x 30; BMS
61892; COUMADIN ; COUMADIN; NOT FOUND; CPR 2.50 MG x 30; BMS
61893; COUMADIN ; COUMADIN; NOT FOUND; CPR 5 MG x 30; BMS
