76329, BROMETO IPRATRO.MG , BROMETO IPRATRO, BROMETO IPRATROPIO, SOLN INALT 0.25 MG 20 ML x 1 (/ML), E3S

55367, BROMIL , BROMIL, NOT FOUND, PAST LIMAO 1 G x 10, E3S

47788, BROMIL EXPECTORANT , BROMIL EXPECTORANT, NOT FOUND, XAR. AD 150 ML x 1, E3S

93535, BRASART HCT , BRASART HCT, NOT FOUND, CPR REVEST 320 MG x 30 (/25), E3S

154087, BRASART BCC , BRASART BCC, NOT FOUND, CPR REV 320 MG x 30 (/5), E3S

93533, BRASART HCT , BRASART HCT, NOT FOUND, CPR REVEST 160 MG x 30 (/12.), E3S

47787, BROMIL EXPECTORANT , BROMIL EXPECTORANT, NOT FOUND, XAR. INF 150 ML x 1, E3S

55369, BROMIL GRIPE , BROMIL GRIPE, NOT FOUND, SACH.MEL/LIM 5 G x 50, E3S

104555, BROM PINAVERIO MG , BROM PINAVERIO, BROMETO PINAVERIO, CPR REV 100 MG x 30, E3S

86645, BUPIUM , BUPIUM, NOT FOUND, CPR REV L L 150 MG x 30, E3S

154089, BRASART BCC , BRASART BCC, NOT FOUND, CPR REV 160 MG x 10 (/5), E3S

81111, BONECAL D , BONECAL D, NOT FOUND, CPR REVEST 600 MG x 60 (/400), E3S

55366, BROMIL , BROMIL, NOT FOUND, PAST MENTA 1 G x 10, E3S

63782, BROM.FENOTEROL MG , BROM FENOTEROL, NOT FOUND, GOTAS 5 MG 20 ML x 1 (/ML), E3S

104556, BROM PINAVERIO MG , BROM PINAVERIO, BROMETO PINAVERIO, CPR REV 100 MG x 60, E3S

79280, BRASART , BRASART, NOT FOUND, CPR. REV. 160 MG x 30, E3S

70744, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, CPR 2 MG x 90, E3S

65219, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, CPR 2 MG x 10, E3S

67945, BROM.FENOTEROL MG , BROM FENOTEROL, NOT FOUND, XPE ADLT 0.50 MG 120 ML x 1 (/ML), E3S

86646, BUPIUM , BUPIUM, NOT FOUND, CPR REV L L 150 MG x 60, E3S

70742, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 90, E3S

123869, BENZIFLEX , BENZIFLEX, NOT FOUND, CPR REVEST 5 MG x 15, E3S

79279, BRASART , BRASART, NOT FOUND, CPR. REV. 80 MG x 30, E3S

65451, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, CPR 0.50 MG x 20, E3S

154088, BRASART BCC , BRASART BCC, NOT FOUND, CPR REV 160 MG x 60 (/5), E3S

71978, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, GOTAS 2.50 MG 20 ML x 1 (/ML), E3S

53212, BALSAMO BENGUE , BALSAMO BENGUE, NOT FOUND, POM. 20 G x 1, E3S

57021, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, E3S

59795, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, E3S

53213, BALSAMO BENGUE , BALSAMO BENGUE, NOT FOUND, GEL. 20 G x 1, E3S

70743, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, CPR 0.50 MG x 90, E3S

70286, BEZAFIBRATO MG , BEZAFIBRATO, BEZAFIBRATO, CPR REVEST 200 MG x 60, E3S

154086, BRASART BCC , BRASART BCC, NOT FOUND, CPR REV 320 MG x 60 (/5), E3S

61697, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, ELIXIR 0.50 MG 120 ML x 1 (/5ML), E3S

78671, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, CAPS 10 MG x 20, E3S

67949, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, SOLN ORAL 1 MG 120 ML x 1 (/ML), E3S

57950, BUTIL ES+D S GO MG , BUTIL ES D S GO, NOT FOUND, GOTAS 20 ML x 1, E3S

76934, BENZIFLEX , BENZIFLEX, NOT FOUND, CPR REVEST 10 MG x 15, E3S

77584, BIMATOPROSTA MG , BIMATOPROSTA, BIMATOPROSTA, SOLN OFTAL 0.30 MG 3 ML x 1, E3S

48601, BENZIFLEX , BENZIFLEX, NOT FOUND, GOTAS 30 MG 20 ML x 1 (/ML), E3S

93534, BRASART HCT , BRASART HCT, NOT FOUND, CPR REVEST 160 MG x 30 (/25), E3S

89920, BIOFLADEX , BIOFLADEX, NOT FOUND, AEROSOL 60 G x 1, E3S

68168, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 30, E3S

63984, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 20, E3S

59794, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 20, E3S

66530, BUTILB ESCOPOLA MG , BUTILB ESCOPOLA, BUTILBROMETO ESCOPOLAMINA, GOTAS 10 MG 20 ML x 1 (/ML), E3S

158154, BRASART HCT , BRASART HCT, NOT FOUND, CPR REVEST 12.5 MG x 30 (/320), E3S

70285, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 90, E3S

59797, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, E3S

57587, BIOVITAL , BIOVITAL, NOT FOUND, CPR REV ANTI x 25, E3S

33306, BROMOPIRIN , BROMOPIRIN, NOT FOUND, CAPS x 20, E3S

100566, BRONDELIX , BRONDELIX, NOT FOUND, XAROPE 7 MG 100 ML x 1 (/ML), E3S

123868, BENZIFLEX , BENZIFLEX, NOT FOUND, CPR REVEST 5 MG x 30, E3S

61430, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, GOTAS 0.50 MG 15 ML x 1, E3S

67946, BROM.FENOTEROL MG , BROM FENOTEROL, NOT FOUND, XPE INF. 0.25 MG 120 ML x 1 (/ML), E3S

78364, BALSAMO BENGUE , BALSAMO BENGUE, NOT FOUND, AERO 60 G x 1, E3S

76935, BENZIFLEX , BENZIFLEX, NOT FOUND, CPR REVEST 10 MG x 30, E3S

64559, BEZAFIBRATO MG , BEZAFIBRATO, BEZAFIBRATO, CPR REVEST 200 MG x 20, E3S

79281, BRASART , BRASART, NOT FOUND, CPR. REV. 320 MG x 30, E3S

