135044; CEFAZOLINA SODI MG ; CEFAZOLINA SODI; CEFAZOLINA SODICA; F.AMP C/DILU 1 G 100 ML x 50; NVA
67144; CEFAZOLINA SODI MG ; CEFAZOLINA SODI; CEFAZOLINA SODICA; F.AMP S/DILU 1 G x 50; NVA
70116; CEFOXITINA SODI.MG ; CEFOXITINA SODI; CEFOXITINA SODICA; F.IV LIOF 1 G 10 ML x 1; NVA
77232; CEFOXITINA SODI.MG ; CEFOXITINA SODI; CEFOXITINA SODICA; F.IV LIOF 1 G 10 ML x 20; NVA
58512; CEFTAFOR ; CEFTAFOR; NOT FOUND; F.AMP PO 1 G x 50; NVA
58511; CEFTRIONA ; CEFTRIONA; NOT FOUND; F.AMP C/DILU 1 G 10 ML x 50; NVA
58510; CEFTRIONA ; CEFTRIONA; NOT FOUND; F.AMP C/DILU 500 MG x 50; NVA
69808; CEFTRIONA ; CEFTRIONA; NOT FOUND; F.AMP S/DILU 1 G x 50; NVA
58527; CETAZIMA ; CETAZIMA; NOT FOUND; F.AMP C/DILU 1 G 4 ML x 50; NVA
69095; CETAZIMA ; CETAZIMA; NOT FOUND; F.AMP S/DILU 1 G x 50; NVA
69094; CETAZIMA ; CETAZIMA; NOT FOUND; F.AMP S/DILU 500 MG x 50; NVA
86926; CLO.GRANISETRON MG ; CLO GRANISETRON; CLORIDRATO GRANISETRONA; AMP IV 1 MG 3 ML x 50 (/ML); NVA
70522; CLOR.CEFEPIMA MG ; CLOR CEFEPIMA; CLORIDRATO CEFEPIMA; F.AMP S/DILU 1 G x 1; NVA
77234; CLOR.CEFEPIMA MG ; CLOR CEFEPIMA; CLORIDRATO CEFEPIMA; F.AMP S/DILU 1 G x 10; NVA
70523; CLOR.CEFEPIMA MG ; CLOR CEFEPIMA; CLORIDRATO CEFEPIMA; F.AMP S/DILU 2 G x 1; NVA
77235; CLOR.CEFEPIMA MG ; CLOR CEFEPIMA; CLORIDRATO CEFEPIMA; F.AMP S/DILU 2 G x 10; NVA
73321; CLOR.DOBUTAMINA MG ; CLOR DOBUTAMINA; CLORIDRATO DOBUTAMINA; A.IV 12.5 MG 20 ML x 1 (/ML); NVA
83391; CLOR.DOBUTAMINA MG ; CLOR DOBUTAMINA; CLORIDRATO DOBUTAMINA; AMP IV 12.5 MG 20 ML x 50; NVA
98145; CLOR.LIDOCAINA MG ; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; F AMP . 20 MG 20 ML x 25 (/ML); NVA
73060; CLOR.ONDANSETRO MG ; CLOR ONDANSETRO; CLORIDRATO ONDANSETRONA; AMP. 2 MG 2 ML x 50 (/ML); NVA
71853; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; AMP. 50 MG 2 ML x 50; NVA
58538; CORTICOIDEX ; CORTICOIDEX; NOT FOUND; F.AMP 4 MG 2.50 ML x 50 (/ML); NVA
70122; CRISTACILINA ; CRISTACILINA; NOT FOUND; F.AMP 1 M x 50; NVA
70121; CRISTACILINA ; CRISTACILINA; NOT FOUND; F.AMP 5 M x 50; NVA
