523703601114410, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.10MG X 14 CAPS, LIB
523703602110419, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.20MG X 28 CAPS, LIB
523703603117417, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.20MG X 7 CAPS, LIB
523703604113415, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.40MG X 7 CAPS, LIB
523703701119414, PLAMET, PLAMET, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20 , LIB
523703702131418, PLAMET, PLAMET, NOT FOUND, 1MG/ML SOL.FR 120ML, LIB
523703703138416, PLAMET, PLAMET, NOT FOUND, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML (PEDIATRICO) , LIB
523703704150411, PLAMET, PLAMET, NOT FOUND, 5MG/ML 05 AMP X 2ML, LIB
523703705157418, PLAMET, PLAMET, NOT FOUND, 5MG/ML 50 AMP X 2ML, LIB
523703802136411, PLURAIR, PLURAIR, NOT FOUND, 50 MCG 120 DOSES, LIB
523703801172414, PLURAIR, PLURAIR, NOT FOUND, 50MCG/DOSE FR SPRAY 60 DOSES, LIB
523703901118411, POZATO, POZATO, NOT FOUND, 0.75MG 2 COMP, LIB
523706401116414, POZATO UNI, POZATO UNI, NOT FOUND, 1.5 MG COM REV CT BL AL PLAS INC X 1, LIB
523704001110412, PROCIMAX, PROCIMAX, NOT FOUND, 20MG BL 14 COMP, LIB
523704002117410, PROCIMAX, PROCIMAX, NOT FOUND, 20MG BL 28 COMP, LIB
523704003113419, PROCIMAX, PROCIMAX, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 14, LIB
523704004111411, PROCIMAX, PROCIMAX, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 28, LIB
523704101115416, PROSTIDE, PROSTIDE, NOT FOUND, 5MG X 20 COMP, LIB
523703601114410, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.10MG X 14 CAPS, LIB
523703602110419, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.20MG X 28 CAPS, LIB
523703603117417, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.20MG X 7 CAPS, LIB
523703604113415, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.40MG X 7 CAPS, LIB
523703701119414, PLAMET, PLAMET, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20 , LIB
523703702131418, PLAMET, PLAMET, NOT FOUND, 1MG/ML SOL.FR 120ML, LIB
523703703138416, PLAMET, PLAMET, NOT FOUND, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML (PEDIATRICO) , LIB
523703704150411, PLAMET, PLAMET, NOT FOUND, 5MG/ML 05 AMP X 2ML, LIB
523703705157418, PLAMET, PLAMET, NOT FOUND, 5MG/ML 50 AMP X 2ML, LIB
523703802136411, PLURAIR, PLURAIR, NOT FOUND, 50 MCG 120 DOSES, LIB
523703801172414, PLURAIR, PLURAIR, NOT FOUND, 50MCG/DOSE FR SPRAY 60 DOSES, LIB
523703901118411, POZATO, POZATO, NOT FOUND, 0.75MG 2 COMP, LIB
523706401116414, POZATO UNI, POZATO UNI, NOT FOUND, 1.5 MG COM REV CT BL AL PLAS INC X 1, LIB
523704001110412, PROCIMAX, PROCIMAX, NOT FOUND, 20MG BL 14 COMP, LIB
523704002117410, PROCIMAX, PROCIMAX, NOT FOUND, 20MG BL 28 COMP, LIB
523704003113419, PROCIMAX, PROCIMAX, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 14, LIB
523704004111411, PROCIMAX, PROCIMAX, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 28, LIB
523704101115416, PROSTIDE, PROSTIDE, NOT FOUND, 5MG X 20 COMP, LIB
523703601114410, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.10MG X 14 CAPS, LIB
523703602110419, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.20MG X 28 CAPS, LIB
523703603117417, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.20MG X 7 CAPS, LIB
523703604113415, PEPRAZOL, PEPRAZOL, NOT FOUND, FR.40MG X 7 CAPS, LIB
523703701119414, PLAMET, PLAMET, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20 , LIB
523703702131418, PLAMET, PLAMET, NOT FOUND, 1MG/ML SOL.FR 120ML, LIB
523703703138416, PLAMET, PLAMET, NOT FOUND, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML (PEDIATRICO) , LIB
523703704150411, PLAMET, PLAMET, NOT FOUND, 5MG/ML 05 AMP X 2ML, LIB
523703705157418, PLAMET, PLAMET, NOT FOUND, 5MG/ML 50 AMP X 2ML, LIB
523703802136411, PLURAIR, PLURAIR, NOT FOUND, 50 MCG 120 DOSES, LIB
523703801172414, PLURAIR, PLURAIR, NOT FOUND, 50MCG/DOSE FR SPRAY 60 DOSES, LIB
523703901118411, POZATO, POZATO, NOT FOUND, 0.75MG 2 COMP, LIB
523706401116414, POZATO UNI, POZATO UNI, NOT FOUND, 1.5 MG COM REV CT BL AL PLAS INC X 1, LIB
523704005116415, PROCIMAX, PROCIMAX, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 7, LIB
523704001110412, PROCIMAX, PROCIMAX, NOT FOUND, 20MG BL 14 COMP, LIB
523704002117410, PROCIMAX, PROCIMAX, NOT FOUND, 20MG BL 28 COMP, LIB
