55770, PARACEN , PARACEN, NOT FOUND, CPR 500 MG x 200, GP8
57159, PARACEN , PARACEN, NOT FOUND, CPR 750 MG x 200, GP8
55771, PARACEN , PARACEN, NOT FOUND, GOTAS 200 MG 15 ML x 1 (/ML), GP8
59783, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 500 MG x 200, GP8
57162, PIROGREEN , PIROGREEN, NOT FOUND, CAPS 10 MG x 10, GP8
57163, PIROGREEN , PIROGREEN, NOT FOUND, CAPS 20 MG x 10, GP8
59778, PRAMIL , PRAMIL, NOT FOUND, AMP. 10 MG 2 ML x 5, GP8
52121, PRAMIL , PRAMIL, NOT FOUND, CPR 10 MG x 20, GP8
68674, PRAMIL , PRAMIL, NOT FOUND, CPR 10 MG x 500, GP8
52122, PRAMIL , PRAMIL, NOT FOUND, GOTAS 4 MG 10 ML x 1 (/ML), GP8
57154, PRAZOLEX , PRAZOLEX, NOT FOUND, CAPS 20 MG x 14, GP8
