61039; CALVIN ; CALVIN; NOT FOUND; CPR REVEST 1 MG x 30; GP8
54883; CANDIFEN ; CANDIFEN; NOT FOUND; CPR 250 MG x 20; GP8
55753; CANDIFEN ; CANDIFEN; NOT FOUND; CPR 400 MG x 20; GP8
60466; CANDIFEN ; CANDIFEN; NOT FOUND; GEL VAG C/AP 100 MG 50 G x 1 (/G); GP8
55754; CANDIFEN ; CANDIFEN; NOT FOUND; SUSP 4 % 100 ML x 1; GP8
55969; CEFEXINA ; CEFEXINA; NOT FOUND; SUSP 250 MG 60 ML x 1 (/5ML); GP8
55720; CETOMIZOL ; CETOMIZOL; NOT FOUND; CPR 200 MG x 30; GP8
55721; CETOMIZOL ; CETOMIZOL; NOT FOUND; CREME 20 MG 30 G x 1 (/G); GP8
60467; CINTIDINA ; CINTIDINA; NOT FOUND; AMP. 300 MG 2 ML x 6; GP8
54833; CINTIDINA ; CINTIDINA; NOT FOUND; CPR 200 MG x 20; GP8
57045; CINTIDINA ; CINTIDINA; NOT FOUND; CPR 400 MG x 20; GP8
59761; CIPROFLOXIL ; CIPROFLOXIL; NOT FOUND; CPR 500 MG x 14; GP8
57060; CLOTRIDERM ; CLOTRIDERM; NOT FOUND; CREME 10 MG 50 G x 1 (/G); GP8
64863; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CREME 10 MG 50 G x 1 (/G); GP8
57061; COLCHIN ; COLCHIN; NOT FOUND; CPR 0.50 MG x 20; GP8
67457; COLIPAN ; COLIPAN; NOT FOUND; CPR 10 MG x 500; GP8
57073; CORIZIN ; CORIZIN; NOT FOUND; CAPS x 20; GP8
