539500201150411; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 1000000 UI PO LIOF INJ CT 1 FA VD INC; CPG
539500202157418; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 1000000 UI PO LIOF INJ CT 10 FA VD INC; CPG
539500203153416; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 1000000 UI PO LIOF INJ CT 6 FA VD INC; CPG
539500207159419; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 1000000 UI PO LIOF INJ CT 20 FA VD INC; CPG
539500204151417; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 3000000 UI PO LIOF INJ CT 1 FA VD INC; CPG
539500205156412; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 3000000 UI PO LIOF INJ CT 6 FA VD INC; CPG
539500206152410; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 3000000 UI PO LIOF INJ CT 10 FA VD INC; CPG
539500208155417; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 3000000 UI PO LIOF INJ CT 20 FA VD INC; CPG
539500209151415; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 5000000 UI PO LIOF INJ CT 06 FA VD INC; CPG
539500210151415; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 5000000 UI PO LIOF INJ CT 10 FA VD INC; CPG
539500211156410; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 5000000 UI PO LIOF INJ CT 20 FA VD INC; CPG
539500214155415; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 5000000 UI PO LIOF INJ CT 1 FA VD INC; CPG
539500212152419; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 9000000 UI PO LIOF INJ CT 1 FA VD INC; CPG
539500213159417; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 9000000 UI PO LIOF INJ CT 6 FA VD INC; CPG
539500215151413; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 9000000 UI PO LIOF INJ CT 10 FA VD INC; CPG
539500216158411; INTERFERON ALFA 2A HUMANO RECOMBINANTE; INTERFERON ALFA 2A HUMANO RECOMBINANTE; NOT FOUND; 9000000 UI PO LIOF INJ CT 20 FA VD INC; CPG
