1004199370018; GLYCOPHOS; GLYCOPHOS; NOT FOUND; 216 MG/ML SOL INJ CT 10 FR AMP PLAS X 20 ML; FRS
1134400010026; GLICENAX; GLICENAX; NOT FOUND; 12 PCC ENEMA CX FR PLAS OPC X 250 ML; FRS
1134400010012; GLICENAX; GLICENAX; NOT FOUND; 12 PCC ENEMA CX FR PLAS OPC X 500 ML; FRS
1004101200021; GLICENAX; GLICENAX; NOT FOUND; 120 MG/ML SOL RET CX FR PLAS OPC X 250 ML; FRS
1004101200011; GLICENAX; GLICENAX; NOT FOUND; 120 MG/ML SOL RET CX FR PLAS OPC X 500 ML; FRS
1004101360035; GLICONATO DE CÁLCIO; GLICONATO CALCIO; GLICONATO CALCIO; 100 MG/ML SOL INJ IV CX 100 AMP VD INC X 10 ML; FRS
1004101360019; GLICONATO DE CÁLCIO; GLICONATO CALCIO; GLICONATO CALCIO; 100 MG/ML SOL INJ IV CT AMP VD INC X 10 ML; FRS
1004101360027; GLICONATO DE CÁLCIO; GLICONATO CALCIO; GLICONATO CALCIO; 100 MG/ML SOL INJ IV CX 50 AMP VD INC X 10 ML; FRS
1004100060229; GLICOSE; GLICOSE; GLICOSE; 500 ML; FRS
1004100060307; GLICOSE; GLICOSE; GLICOSE; RB 100 ML; FRS
1004100060113; GLICOSE; GLICOSE; GLICOSE; 1000 ML 10%; FRS
1004100060130; GLICOSE; GLICOSE; GLICOSE; 500 ML 10%; FRS
1004100060024; GLICOSE; GLICOSE; GLICOSE; 100 ML 5%; FRS
1004100060032; GLICOSE; GLICOSE; GLICOSE; 1000 ML 5%; FRS
1004100060059; GLICOSE; GLICOSE; GLICOSE; 250 ML 5%; FRS
1004100060321; GLICOSE; GLICOSE; GLICOSE; 2000 ML 70%; FRS
1004100060364; GLICOSE; GLICOSE; GLICOSE; 500 ML BOLSA 5%; FRS
1004100060356; GLICOSE; GLICOSE; GLICOSE; 250 ML BOLSA 5%; FRS
1004101070118; GLICOSE; GLICOSE; GLICOSE; 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 50 ML; FRS
1004101070126; GLICOSE; GLICOSE; GLICOSE; 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 100 ML; FRS
1004101070266; GLICOSE; GLICOSE; GLICOSE; 100 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 250 ML; FRS
1004101070274; GLICOSE; GLICOSE; GLICOSE; 100 MG/ML SOL INJ IV BOLS PLAS  TRANS SIST FECH X 500 ML ; FRS
1004101070282; GLICOSE; GLICOSE; GLICOSE; 100 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 1000 ML ; FRS
1004101470019; GLICOSE; GLICOSE; GLICOSE; 500 MG/ML SOL INJ IV FR PLAS TRANS SIST FECH X 2000 ML; FRS
1004101070010; GLICOSE 10%; GLICOSE 10; NOT FOUND; 100 MG/ML SOL INJ IV CX 50 FR PLAS TRANS X 250 ML; FRS
1004101070037; GLICOSE 10%; GLICOSE 10; NOT FOUND; 100 MG/ML SOL INJ IV CX 12 FR PLAS TRANS X 1000 ML; FRS
1004101070029; GLICOSE 10%; GLICOSE 10; NOT FOUND; 100 MG/ML SOL INJ IV CX 24 FR PLAS TRANS X 500 ML; FRS
1004101070101; GLICOSE; GLICOSE; GLICOSE; 50 MG/ML SOL INJ IV CX FR PLAS TRANS X 100 ML; FRS
1004101070071; GLICOSE; GLICOSE; GLICOSE; 50 MG/ML SOL INJ IV CX FR PLAS TRANS X 250 ML; FRS
1004101070088; GLICOSE; GLICOSE; GLICOSE; 50 MG/ML SOL INJ IV CX FR PLAS TRANS X 500 ML; FRS
1004101070096; GLICOSE; GLICOSE; GLICOSE; 50 MG/ML SOL INJ IV CX FR PLAS TRANS X 1000 ML; FRS
1004101070134; GLICOSE; GLICOSE; GLICOSE; 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 250 ML; FRS
1004101070142; GLICOSE; GLICOSE; GLICOSE; 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 1000 ML; FRS
1004101070185; GLICOSE; GLICOSE; GLICOSE; 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML; FRS
1004101070150; GLICOSE; GLICOSE; GLICOSE; 100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 250 ML; FRS
1004101070169; GLICOSE; GLICOSE; GLICOSE; 100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML; FRS
1004101070177; GLICOSE; GLICOSE; GLICOSE; 100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 1000 ML; FRS
1004101070215; GLICOSE; GLICOSE; GLICOSE; 500 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML ; FRS
1004101070223; GLICOSE; GLICOSE; GLICOSE; 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 100 ML; FRS
1004101070231; GLICOSE; GLICOSE; GLICOSE; 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 250 ML; FRS
