1004100220030; HISOPLEX; HISOPLEX; NOT FOUND; 5 MG+6.4 MG+0.754 MG+0.750 MG+0.310 MG+0.370 MG/ML SOL INJ CT FR PLAS TRANS X 500 ML; FRS
1322300270025; HD 170 D; HD 170 D; NOT FOUND; SOL 5000 ML; FRS
1322300120023; HD 170 BIC AC - 8,4% SOL HD BAS; HD 170 BIC AC 8 4 SOL HD BAS; NOT FOUND; NA 138+K 2.0 MEQ/L SOL HD ACD BOMB; FRS
1322300270033; HD 170 C; HD 170 C; NOT FOUND; 5000 ML; FRS
1322300280012; HF 12; HF 12; NOT FOUND; SOL INJ HEMOFIL CX BOLSA PLAS FLEX INC X 5000 ML ; FRS
1322300990011; HF 24; HF 24; NOT FOUND; 5000 ML; FRS
1032239001100; HD 120; HD 120; NOT FOUND; PADRAO 3430 ML; FRS
1005868400000; HD 120; HD 120; NOT FOUND; S/ POTASSIO C/ 3430 ML; FRS
1004100170021; HISOCEL; HISOCEL; NOT FOUND; 3.5 PCC SOL INJ CX FR VD INC X 500 ML; FRS
1004100170011; HISOCEL; HISOCEL; NOT FOUND; (35.0 + 8.5 + 0.38 + 0.7) MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML; FRS
1004100170100; HISOCEL; HISOCEL; NOT FOUND; SOL INJ IV CX BOLS PLAS SIST FECH X 500 ML; FRS
1004101060015; HYPER HAES; HYPER HAES; NOT FOUND; 15 G + 18 G SOL INJ CX BOLSA PVC X 250 ML; FRS
1004100550061; HAES STERIL; HAES STERIL; NOT FOUND; 0.1 G/ML SOL INJ BOLS PVC X 500 ML; FRS
1004100550043; HAES STERIL; HAES STERIL; NOT FOUND; 0.1 G/ML SOL INJ CX FR PLAS TRANS X 500 ML; FRS
1004100550124; HAES STERIL; HAES STERIL; NOT FOUND; 0.06 G/ML SOL INJ BOLS PVC X 500 ML; FRS
1004100550108; HAES STERIL; HAES STERIL; NOT FOUND; 0.06 G/ML SOL INJ CX FR PLAS TRANS X 500 ML; FRS
1004100550086; HAES STERIL; HAES STERIL; NOT FOUND; 0.06 G/ML SOL INJ CX FR VD INC X 500 ML; FRS
1004100550027; HAES STERIL; HAES STERIL; NOT FOUND; 0.1 G/ML SOL INJ CX FR VD INC X 500 ML; FRS
1260300440067; HEPARINA; HEPARINA; NOT FOUND; 50 FRX10 ML; FRS
1260300440016; HEPARINA; HEPARINA; NOT FOUND; 100 FR X 5ML; FRS
