1322301070011; CPHD BICARBONATO DE SÓDIO 8,4%; CPHD BICARBONATO SODIO 8 4; NOT FOUND; 8.4 G/100 ML SOL HD BAS CX BOMB PLAS TRANS X 5000 ML; FRS
1134400300032; CHD; CHD; NOT FOUND;  5000ML; FRS
1134400300032; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 138 MEQ + 2 MEQ SOL HD ACD CX GAL PLAS TRANS X 5000 ML + BIC SODIO X 5000 ML; FRS
1134400040030; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 0.9 MG/ML SOL INJ CX FR PLAS TRANS X 1000 ML; FRS
1134400040049; CLORETO DE SÓDIO 0,9%; CLORETO SODIO 0 9; NOT FOUND; 0.9 MG/ML SOL INJ CX FR PLAS TRANS X 100 ML; FRS
1134400290010; CONCENTRADO PARA HEMODIÁLISE COM BICARBONATO DE SODIO 140; CONCENTRADO PARA HEMODIALISE BICARBONATO SODIO 140; NOT FOUND; SOL HEMOD CX GALAO POLIET 3430 ML E SACH 352 G BICARBONATO; FRS
1322300120015; CONCENTRADO POLIETROLÍTICO PARA HEMODIÁLISE HD 170 BIC AC; CONCENTRADO POLIETROLITICO PARA HEMODIALISE HD 170 BIC AC; NOT FOUND;  NA 138 + K 2.00 MEQ/L SOL HD ACD BOMB PLAS TRANS X 5000 ML + 8.4% SOL HD BAS X 5600 ML; FRS
1322300980022; CPHD GENIUS; CPHD GENIUS; NOT FOUND; SOL HD CX PLAS X 960 ML; FRS
1322300980030; CPHD GENIUS; CPHD GENIUS; NOT FOUND; SOL HD CX PLAS X 960 ML; FRS
1322300980049; CPHD GENIUS; CPHD GENIUS; NOT FOUND; SOL HD CX PLAS X 960 ML; FRS
1322300980014; CPHD GENIUS; CPHD GENIUS; NOT FOUND; CLORETO DE SODIO PO 331.3G + BICARBONATO DE SODIO 264.6G + GLICOSE ANIDRA 90.0G PO CX BOLSA PLAS; FRS
1322301040015; CPHD 24/34; CPHD 24 34; NOT FOUND; NA138 + K2 MEQ/L SOL HD ACD BOMB PLAS TRANS X 5000 ML; FRS
1322300210014; CPHD FRESENIUS BIC.NA+ 136 - K+ 1,5 - CONC. ÀCIDO; CPHD FRESENIUS BIC NA 136 K 1 5 CONC ACIDO; NOT FOUND; 3.00 L; FRS
1300200200019; CPHD FRESENIUS BIC.NA+ 138 K+ 2,0 - CONC. ÁCIDO; CPHD FRESENIUS BIC NA 138 K 2 0 CONC ACIDO; NOT FOUND; 5.00 L; FRS
1322300200019; CPHD FRESENIUS BIC.NA+ 138 K+ 2,0 - 8,4% BIC BAS; CPHD FRESENIUS BIC NA 138 K 2 0 8 4 BIC BAS; NOT FOUND; 5.00 L; FRS
1322300210049; CPHD FRESENIUS BIC.NA+ 140 - K+ 1,5 - CONC. ÁCIDO; CPHD FRESENIUS BIC NA 140 K 1 5 CONC ACIDO; NOT FOUND; 3.00 L; FRS
1322300180018; CPHD FRESENIUS BICARB.NA+139 K+2,0 - 6,6% SOL. B; CPHD FRESENIUS BICARB NA 139 K 2 0 6 6 SOL B; NOT FOUND; 139 NA + 2 K MEQ/L SOL CONC ACD CX GAL PLAS TRANS X 5L + 6.6% SOL BAS; FRS
1322300180018; CPHD FRESENIUS BICARB.NA+139 K+2,0 - CONC. ÁCIDO; CPHD FRESENIUS BICARB NA 139 K 2 0 CONC ACIDO; NOT FOUND; 139 NA + 2 K MEQ/L SOL CONC ACD CX GAL PLAS TRANS X 5L + 6.6% SOL BA; FRS
1016800300039; CPHD FRESENIUS BICARBONATADO NA+ 140; CPHD FRESENIUS BICARBONATADO NA 140; NOT FOUND; 3.00 L; FRS
1322301010027; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; 22/44 - NA 138+K 2 MEQ/L SOL HD ACD BOLSA PLAS TRANS X 10000 ML; FRS
1322301010019; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; 22/44 - NA 138+K2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5000 ML; FRS
1322301010043; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; 23/44 - NA 138+K 2 MEQ/L SOL HD ACD BOLSA PLAS TRANS X 10000 ML; FRS
1322301010035; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; 23/44 - NA 138+K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5000 ML; FRS
1322301010051; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 10.000 ML (22/44); FRS
1322301010061; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 10.000 ML (23/44); FRS
1322300190031; CPHD BIC.NA+ 140 - K+ 1,5 - GLIC; CPHD BIC NA 140 K 1 5 GLIC; NOT FOUND; 3.10 L; FRS
1322300190013; CPHD FRESENIUS BIC.NA+ 138 K+ 1,5 GLIC; CPHD FRESENIUS BIC NA 138 K 1 5 GLIC; NOT FOUND; 3.10 L; FRS
1322301000013; CPHD COM CITRATO E GLICOSE; CPHD CITRATO E GLICOSE; NOT FOUND; NA 139 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5000 ML (22CITG/44); FRS
1322301000021; CPHD COM CITRATO E GLICOSE; CPHD CITRATO E GLICOSE; NOT FOUND; NA 139 + K 3 MEQ/L SOL HD ACD GAL PLAS TRANS X 5000 ML (33CITG/44); FRS
1322301020057; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 1 MEQ/L SOL HD ACD GAL PLAS TRANS X 5.000 ML (12G/34); FRS
1322301020022; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD BOLS PLAS TRANS X 10.000 ML (22G/44); FRS
1322301020049; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD BOLS PLAS TRANS X 10.000 ML (23G/44); FRS
1322301020065; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5.000 ML (22G/34); FRS
1322301020014; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5.000 ML (22G/44); FRS
1322301020030; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5.000 ML (23G/44); FRS
1322301020073; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5.000 ML (24G/34); FRS
1322301020081; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 10.000 ML (22G/44); FRS
1322301020091; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 10.000 ML (23G/44); FRS
1004100980013; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ CX FR PLAS TRANS X 250 ML; FRS
1004100980021; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ CX FR PLAS TRANS X 500 ML; FRS
1004100980031; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ CX FR PLAS TRANS X 1000 ML; FRS
1004100980080; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 50 ML; FRS
1004100980099; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 250 ML; FRS
1004100980102; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML; FRS
1004100980110; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 1000 ML; FRS
1004100980129; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 100 ML; FRS
