1004101500015; SMOFKABIVEN; SMOFKABIVEN; NOT FOUND; EMUL INJ IV BOLS PLAS INC X 1477 ML SIST FECH; FRS
1004101500023; SMOFKABIVEN; SMOFKABIVEN; NOT FOUND; EMUL INJ IV BOLS PLAS INC X 1970 ML SIST FECH; FRS
1004101500031; SMOFKABIVEN; SMOFKABIVEN; NOT FOUND; EMUL INJ IV BOLS PLAS INC X 2463 ML SIST FECH; FRS
1004101500041; SMOFKABIVEN; SMOFKABIVEN; NOT FOUND; EMUL INJ IV BOLS PLAS INC X 986 ML SIST FECH ; FRS
1004101500058; SMOFKABIVEN; SMOFKABIVEN; NOT FOUND; EMUL INJ IV BOLS PLAS INC X 1448 ML SIST FECH  ; FRS
1004101500066; SMOFKABIVEN; SMOFKABIVEN; NOT FOUND; EMUL INJ IV BOLS PLAS INC X 1904 ML SIST FECH; FRS
1004101500074; SMOFKABIVEN; SMOFKABIVEN; NOT FOUND; EMUL INJ IV BOLS PLAS INC X 1206 ML SIST FECH ; FRS
1004101490011; SMOFKABIVEN LIVRE DE ELETRÓLITOS; SMOFKABIVEN LIVRE ELETROLITOS; NOT FOUND; EMUL INJ IV BOLS PLAS X 986 ML SIST FECH; FRS
1004101490028; SMOFKABIVEN LIVRE DE ELETRÓLITOS; SMOFKABIVEN LIVRE ELETROLITOS; NOT FOUND; EMUL INJ IV BOLS PLAS X 1477 ML SIST FECH ; FRS
1004101490036; SMOFKABIVEN LIVRE DE ELETRÓLITOS; SMOFKABIVEN LIVRE ELETROLITOS; NOT FOUND; EMUL INJ IV BOLS PLAS X 1970 ML SIST FECH; FRS
1004101490044; SMOFKABIVEN LIVRE DE ELETRÓLITOS; SMOFKABIVEN LIVRE ELETROLITOS; NOT FOUND; EMUL INJ IV BOLS PLAS X 2463 ML SIST FECH; FRS
1134400310011; SOL. ELET. BALANCEADA; SOL ELET BALANCEADA; NOT FOUND; SOL INJ FR PLAS X 500 ML; FRS
1004101140019; SOLUÇÃO P/DIÁLISE PERITONEAL - 7% GLICOSE; SOLUCAO P DIALISE PERITONEAL 7 GLICOSE; NOT FOUND; 70 MG/ML SOL DIA PER CT FR PLAS TRANS X 1000 ML; FRS
1004101180029; SOLUÇÃO P/DIÁLISE PERITONEAL; SOLUCAO P DIALISE PERITONEAL; NOT FOUND; 15 MG/ML SOL DIA PER CX FR PLAS TRANS X 2000 ML; FRS
