1004199400014; FRESOFLOX; FRESOFLOX; NOT FOUND; 2.0 MG/ML SOL INJ CX 24 FR PLAS TRANS SIST FECH X 100 ML ; FRS
1004199400103; FRESOFLOX; FRESOFLOX; NOT FOUND; 2.0 MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FEC X 100 ML; FRS
1004199400154; FRESOFLOX; FRESOFLOX; NOT FOUND; 2.0 MG/ML SOL INJ CX FR PLAS TRANS SIST FECH X 200 ML; FRS
1004199400057; FRESOFLOX; FRESOFLOX; NOT FOUND; 200 MG SOL INJ CX BOLSA PVC X 100 ML; FRS
1004199360012; FRESOLCAN; FRESOLCAN; NOT FOUND; 100 ML RB; FRS
1004199360039; FRESOLCAN; FRESOLCAN; NOT FOUND; 2 MG/ML SOL INJ CT FR PLAS TRANS  SIST FECH X 100 ML; FRS
1004199360047; FRESOLCAN; FRESOLCAN; NOT FOUND; 2 MG/ML SOL INJ CX 80 FR PLAS TRANS SIST FECH X 100 ML ; FRS
1004199360055; FRESOLCAN; FRESOLCAN; NOT FOUND; 2 MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 100 ML ; FRS
1004100280121; FRUTOSE; FRUTOSE; FRUTOSE; 500 ML 10%; FRS
1004100280032; FRUTOSE; FRUTOSE; FRUTOSE; 500 ML 5%; FRS
1004100280038; FRUTOSE 5%; FRUTOSE 5; NOT FOUND; 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML; FRS
1004100120019; FRESENITOL; FRESENITOL; NOT FOUND; 250 ML; FRS
1004100500030; FRESENITOL; FRESENITOL; NOT FOUND; 100 ML; FRS
1004199320061; FRESOFOL; FRESOFOL; NOT FOUND; 20 MG/ML EMU INJ CX CT 10 FA VD INC X 50 ML; FRS
1004199320037; FRESOFOL; FRESOFOL; NOT FOUND; 10 MG/ML EMU INJ CT 5 AMP VD INC X 20 ML; FRS
1004199320045; FRESOFOL; FRESOFOL; NOT FOUND; 10 MG/ML EMU INJ CT FA VD INC X 100 ML; FRS
1004199320010; FRESOFOL; FRESOFOL; NOT FOUND; 10 MG/ML EMU INJ CT FA VD INC X 50 ML; FRS
1322300290018; FREKA DERM INCOLOR; FREKA DERM INCOLOR; NOT FOUND; SOL. TIPO FR. PLAST. OPACO SPRAY X 190ML; FRS
