66738; LANSOPRAZOL MG ; LANSOPRAZOL; LANSOPRAZOL; CAPS 15 MG x 14; GM2
66740; LANSOPRAZOL MG ; LANSOPRAZOL; LANSOPRAZOL; CAPS 30 MG x 14; GM2
66737; LANSOPRAZOL MG ; LANSOPRAZOL; LANSOPRAZOL; CAPS 30 MG x 28; GM2
66739; LANSOPRAZOL MG ; LANSOPRAZOL; LANSOPRAZOL; CAPS 30 MG x 7; GM2
78577; LATANO+MAL.TIMO MG ; LATANO MAL TIMO; NOT FOUND; SOLN OFTAL 2.50 ML x 1; GM2
69369; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 10; GM2
69686; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 3; GM2
69367; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 7; GM2
103029; LIARA ; LIARA; NOT FOUND; CPR REVEST 0.03 MG x 21 (/3); GM2
95223; LIPIBLOCK ; LIPIBLOCK; NOT FOUND; CAPS 120 MG x 30; GM2
75650; LIPIBLOCK ; LIPIBLOCK; NOT FOUND; CAPS 120 MG x 42; GM2
95224; LIPIBLOCK ; LIPIBLOCK; NOT FOUND; CAPS 120 MG x 60; GM2
75651; LIPIBLOCK ; LIPIBLOCK; NOT FOUND; CAPS 120 MG x 84; GM2
63998; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 10 MG x 30; GM2
63999; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 20 MG x 30; GM2
64000; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 30 MG x 30; GM2
64001; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 5 MG x 30; GM2
66741; LORATA+PSEUDOEF.MG ; LORATA PSEUDOEF; NOT FOUND; XAR. 60 ML x 1; GM2
69857; LORATADINA MG ; LORATADINA; LORATADINA; XAROPE 5 MG 100 ML x 1 (/5ML); GM2
66742; LORAZEPAM MG ; LORAZEPAM; LORAZEPAM; CPR 1 MG x 20; GM2
66743; LORAZEPAM MG ; LORAZEPAM; LORAZEPAM; CPR 2 MG x 20; GM2
68536; LOSART.PO.+HCTZ MG ; LOSART PO HCTZ; NOT FOUND; CPR REVEST 12.5 MG x 30 (/50); GM2
68537; LOSART.PO.+HCTZ MG ; LOSART PO HCTZ; NOT FOUND; CPR REVEST 25 MG x 30 (/100); GM2
73896; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 100 MG x 30; GM2
73897; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; GM2
80449; LOXXY ; LOXXY; NOT FOUND; SHA ANTI CAS 120 ML x 1; GM2
95704; LOXXY PLUS ; LOXXY PLUS; NOT FOUND; SH ANTICASPA 120 ML x 1; GM2
105409; LUMISKIN ; LUMISKIN; NOT FOUND; CREME CLAREA 30 ML x 1; GM2
