68581, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, CPR 0.25 MG x 20 (/2), GM2
69859, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, GM2
66745, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 30 (/20), GM2
66746, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 25 MG x 30 (/10), GM2
66749, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, GM2
66748, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, GM2
66750, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, GM2
66747, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, GM2
72914, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CREME 10 MG 30 G x 1 (/G), GM2
73995, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, GOTAS 2.80 MG 20 ML x 1 (/ML), GM2
69035, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.25 % 5 ML x 1, GM2
69036, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.50 % 5 ML x 1, GM2
66752, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, GM2
69863, MESALAZINA MG , MESALAZINA, MESALAZINA, CPR REVEST 800 MG x 30, GM2
69864, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, GM2
69489, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL VAG+10AP 500 MG 50 G x 1 (/5G), GM2
102527, MEZOLIUM , MEZOLIUM, NOT FOUND, CPR REVEST 20 MG x 28, GM2
101632, MEZOLIUM , MEZOLIUM, NOT FOUND, CPR REVEST 40 MG x 28, GM2
143255, MISACARDIO , MISACARDIO, NOT FOUND, CPR 40 MG x 30, GM2
143257, MISACARDIO , MISACARDIO, NOT FOUND, CPR 80 MG x 30, GM2
78279, MODIK , MODIK, NOT FOUND, SACHETS 5 % 250 MG x 12, GM2
78278, MODIK , MODIK, NOT FOUND, SACHETS 5 % 250 MG x 6, GM2
140278, MUSCUSAN , MUSCUSAN, NOT FOUND, CPR REVEST 10 MG x 10, GM2
146572, MUSCUSAN , MUSCUSAN, NOT FOUND, CPR REVEST 10 MG x 30, GM2
140279, MUSCUSAN , MUSCUSAN, NOT FOUND, CPR REVEST 5 MG x 10, GM2
140280, MUSCUSAN , MUSCUSAN, NOT FOUND, CPR REVEST 5 MG x 30, GM2
