76787, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 100 MG 20 ML x 1 (/ML), GM2
76786, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), GM2
76788, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 400 MG x 10, GM2
69856, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 200 MG x 20, GM2
78496, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, SUSP ORAL 20 MG 100 ML x 1 (/ML), GM2
71674, IMUSSUPREX , IMUSSUPREX, NOT FOUND, CPR REVEST 50 MG x 50, GM2
86432, INDAPAMIDA MG , INDAPAMIDA, INDAPAMIDA, CPR REVEST 1.50 MG x 30, GM2
85987, INIP , INIP, NOT FOUND, CPR REV L L 150 MG x 30, GM2
112605, INIP , INIP, NOT FOUND, CPR REV L L 150 MG x 10, GM2
103028, ISOTRETINOINA MG , ISOTRETINOINA, ISOTRETINOINA, CAPS 20 MG x 30, GM2
103027, ISOTRETINOINA MG , ISOTRETINOINA, ISOTRETINOINA, CAPS 10 MG x 30, GM2
