69872; V.BE+SU.G+TO+CL MG ; V BE SU G TO CL; NOT FOUND; CREME 20 G x 1; GM2
72913; V.BE+SU.G+TO+CL MG ; V BE SU G TO CL; NOT FOUND; POM. 20 G x 1; GM2
69344; VAL.BETA+S.NEOM.MG ; VAL BETA S NEOM; NOT FOUND; CREME 30 G x 1; GM2
69720; VAL.BETA+S.NEOM.MG ; VAL BETA S NEOM; NOT FOUND; POM. 30 G x 1; GM2
66799; VALER.BETAMETA.MG ; VALER BETAMETA; VALERATO BETAMETASONA; CREME 30 G x 1; GM2
93538; VALSAR+HIDROCL MG ; VALSAR HIDROCL; NOT FOUND; CPR REV . 160 MG x 30 (/12.); GM2
93537; VALSAR+HIDROCL MG ; VALSAR HIDROCL; NOT FOUND; CPR REV . 160 MG x 30 (/25); GM2
93539; VALSAR+HIDROCL MG ; VALSAR HIDROCL; NOT FOUND; CPR REV . 320 MG x 30 (/25); GM2
93536; VALSAR+HIDROCL MG ; VALSAR HIDROCL; NOT FOUND; CPR REV . 80 MG x 30 (/12.); GM2
159003; VALSAR+HIDROCL MG ; VALSAR HIDROCL; NOT FOUND; CPR REVEST 320 MG x 30 (/12.); GM2
80418; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 160 MG x 30; GM2
80419; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 320 MG x 30; GM2
80417; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 80 MG x 30; GM2
147834; VIDEMED ; VIDEMED; NOT FOUND; GOTAS 10 ML x 1; GM2
147835; VIDEMED ; VIDEMED; NOT FOUND; GOTAS 20 ML x 1; GM2
