80456, TAMAFILL , TAMAFILL, NOT FOUND, AERO A/CELUL 250 ML x 1, GM2
77704, TAR METOPROLOL MG , TAR METOPROLOL, NOT FOUND, CPR REVEST 100 MG x 30, GM2
96911, TEKZOR , TEKZOR, NOT FOUND, CPR REVEST 50 MG x 60, GM2
101639, TELMISARTANA MG , TELMISARTANA, TELMISARTANA, CPR 40 MG x 30, GM2
101641, TELMISARTANA MG , TELMISARTANA, TELMISARTANA, CPR 80 MG x 30, GM2
64011, TENOXICAM MG , TENOXICAM, TENOXICAM, CPR REVEST 20 MG x 10, GM2
76811, TERCONAZOL MG , TERCONAZOL, TERCONAZOL, CR.VAG.5 APL 8 MG 30 G x 1 (/G), GM2
68300, TIABENDAZOL MG , TIABENDAZOL, TIABENDAZOL, CPR 500 MG x 6, GM2
69767, TIABENDAZOL POM MG , TIABENDAZOL POM, NOT FOUND, POM. 50 MG 45 G x 1 (/G), GM2
103024, TIBOLONA MG , TIBOLONA, TIBOLONA, CPR 2.50 MG x 30, GM2
87512, TIGMA , TIGMA, NOT FOUND, CAPS 1.50 MG x 30, GM2
87511, TIGMA , TIGMA, NOT FOUND, CAPS 3 MG x 30, GM2
87513, TIGMA , TIGMA, NOT FOUND, CAPS 4.50 MG x 30, GM2
103080, TILOGER , TILOGER, NOT FOUND, CPR 2.50 MG x 30, GM2
66797, TINID+NIT.MICON.MG , TINID NIT MICON, NOT FOUND, CR.VAG.7 APL 45 G x 1, GM2
74197, TINIDAZOL MG , TINIDAZOL, TINIDAZOL, CPR REVEST 500 MG x 4, GM2
74196, TINIDAZOL MG , TINIDAZOL, TINIDAZOL, CPR REVEST 500 MG x 8, GM2
69496, TIOCO+TINIDAZOL MG , TIOCO TINIDAZOL, NOT FOUND, CR.VAG.7 APL 35 G x 1, GM2
76516, TOBRAMICINA MG , TOBRAMICINA, TOBRAMICINA, SOLN OFTAL 3 MG 5 ML x 1 (/ML), GM2
69562, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 100 MG x 60, GM2
69561, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 25 MG x 60, GM2
69560, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 50 MG x 60, GM2
