66091, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, CPR 0.50 MG x 20, GM2
66092, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, CPR 2 MG x 10, GM2
74207, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, ELIXIR 0.50 MG 120 ML x 1 (/5ML), GM2
66093, BETAMETASONA MG , BETAMETASONA, BETAMETASONA, GOTAS 0.50 MG 15 ML x 1 (/ML), GM2
66094, BEZAFIBRATO MG , BEZAFIBRATO, BEZAFIBRATO, CPR REVEST 200 MG x 20, GM2
76771, BIMATOPROSTA MG , BIMATOPROSTA, BIMATOPROSTA, SOLN OFTAL 0.30 MG 3 ML x 1 (/ML), GM2
76772, BIMATOPROSTA MG , BIMATOPROSTA, BIMATOPROSTA, SOLN OFTAL 0.30 MG 5 ML x 1 (/ML), GM2
78057, BROM CITALOPRAM MG , BROM CITALOPRAM, NOT FOUND, CPR REVEST 20 MG x 30, GM2
105734, BROM PINAVERIO MG , BROM PINAVERIO, BROMETO PINAVERIO, CPR REVEST 100 MG x 30, GM2
105735, BROM PINAVERIO MG , BROM PINAVERIO, BROMETO PINAVERIO, CPR REVEST 100 MG x 60, GM2
68167, BROM.FENOTEROL MG , BROM FENOTEROL, NOT FOUND, GOTAS 5 MG 20 ML x 1 (/ML), GM2
66095, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 20, GM2
68992, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 30, GM2
66096, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, GM2
68646, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 30, GM2
72282, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, GOTAS 2.50 MG 20 ML x 1 (/ML), GM2
103494, BROMEPINA , BROMEPINA, NOT FOUND, CPR REV 100 MG x 30, GM2
103495, BROMEPINA , BROMEPINA, NOT FOUND, CPR REV 100 MG x 60, GM2
76105, BROMETO IPRATRO.MG , BROMETO IPRATRO, BROMETO IPRATROPIO, SOLN INALT 0.25 MG 20 ML x 1 (, GM2
78848, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, CAPS 10 MG x 20, GM2
69829, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, GOTAS ORAL 4 MG 20 ML x 1 (/ML), GM2
66684, BUTILB ESCOPOLA MG , BUTILB ESCOPOLA, BUTILBROMETO ESCOPOLAMINA, GOTAS 10 MG 20 ML x 1 (/ML), GM2
