91051, HE RIVASTIGMINA MG , HE RIVASTIGMINA, NOT FOUND, CAPS 6 MG x 30, GM2
91050, HE RIVASTIGMINA MG , HE RIVASTIGMINA, NOT FOUND, CAPS 4.50 MG x 30, GM2
91047, HE RIVASTIGMINA MG , HE RIVASTIGMINA, NOT FOUND, CAPS 1.50 MG x 30, GM2
91049, HE RIVASTIGMINA MG , HE RIVASTIGMINA, NOT FOUND, CAPS 3 MG x 30, GM2
95123, HEM ZOLPIDEM MG , HEM ZOLPIDEM, NOT FOUND, CPR REVEST 10 MG x 20, GM2
80679, HERPSTAL , HERPSTAL, NOT FOUND, CPR REVEST 500 MG x 10, GM2
76987, HIDR+TRE+AC FLU MG , HIDR TRE AC FLU, NOT FOUND, CREME DERMAT 15 G x 1, GM2
69558, HIDROCLOROTIAZI.MG , HIDROCLOROTIAZI, NOT FOUND, CPR 25 MG x 30, GM2
69557, HIDROCLOROTIAZI.MG , HIDROCLOROTIAZI, NOT FOUND, CPR 50 MG x 20, GM2
70001, HIDROCORTISONA MG , HIDROCORTISONA, HIDROCORTISONA, POM. 10 MG 30 G x 1 (/G), GM2
69746, HIDROCORTISONA MG , HIDROCORTISONA, HIDROCORTISONA, SOLN CAPIL 10 MG 60 ML x 1 (/ML), GM2
75460, HIDROQUINONA MG , HIDROQUINONA, HIDROQUINONA, GEL. 40 MG 30 G x 1 (/G), GM2
77023, HIDROQUINONA MG , HIDROQUINONA, HIDROQUINONA, CREME 40 MG 30 G x 1 (/G), GM2
80448, HIFFILS , HIFFILS, NOT FOUND, CREME. 50 ML x 1, GM2
76135, HORMOSKIN , HORMOSKIN, NOT FOUND, CREME DERMAT 15 G x 1, GM2
76136, HORMOSKIN , HORMOSKIN, NOT FOUND, CREME DERMAT 30 G x 1, GM2
98556, HYDRACELL , HYDRACELL, NOT FOUND, LOC CREMOSA 200 ML x 1, GM2
98554, HYDRACELL , HYDRACELL, NOT FOUND, LOC CREMOSA 120 ML x 1, GM2
