516900601173417, FISIOSORO, FISIOSORO, NOT FOUND, 0.5 MG + 9 MG + 0.1 MG SOL NAS CT FR PLAS TRANS GOT X 30 ML ( ADULTO), C6R
516900602137414, FISIOSORO, FISIOSORO, NOT FOUND, 9 MG + 0.1 MG/ML SOL NAS CT FR PLAS TRANS GOT X 30 ML, C6R
516903001177416, FLOGOSEPT, FLOGOSEPT, NOT FOUND, 150 MG/100 ML COLUT CT FR VD AMB X 150 ML + COPO MED, C6R
516903002173414, FLOGOSEPT, FLOGOSEPT, NOT FOUND, 150 MG/100 ML COLUT CT FR VD AMB X 30 ML SPRAY, C6R
516900703138416, FRUTOSSE, FRUTOSSE, NOT FOUND, 3 MG / ML XPE FR VD AMB CP MED X 100 ML, C6R
516900704134414, FRUTOSSE, FRUTOSSE, NOT FOUND, 6 MG / ML XPE FR VD AMB CP MED X 100 ML, C6R
516900705130412, FRUTOSSE, FRUTOSSE, NOT FOUND, 7.5 MG / ML SOL ORAL FR VD AMB CONT GOTAS X 50 ML, C6R
516900601173417, FISIOSORO, FISIOSORO, NOT FOUND, 0.5 MG + 9 MG + 0.1 MG SOL NAS CT FR PLAS TRANS GOT X 30 ML ( ADULTO), C6R
516900602137414, FISIOSORO, FISIOSORO, NOT FOUND, 9 MG + 0.1 MG/ML SOL NAS CT FR PLAS TRANS GOT X 30 ML, C6R
516903001177416, FLOGOSEPT, FLOGOSEPT, NOT FOUND, 150 MG/100 ML COLUT CT FR VD AMB X 150 ML + COPO MED, C6R
516903002173414, FLOGOSEPT, FLOGOSEPT, NOT FOUND, 150 MG/100 ML COLUT CT FR VD AMB X 30 ML SPRAY, C6R
516900703138416, FRUTOSSE, FRUTOSSE, NOT FOUND, 3 MG / ML XPE FR VD AMB CP MED X 100 ML, C6R
516900704134414, FRUTOSSE, FRUTOSSE, NOT FOUND, 6 MG / ML XPE FR VD AMB CP MED X 100 ML, C6R
516900705130412, FRUTOSSE, FRUTOSSE, NOT FOUND, 7.5 MG / ML SOL ORAL FR VD AMB CONT GOTAS X 50 ML, C6R
