516903501137413, RESFETAMOL, RESFETAMOL, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , C6R
516903502133411, RESFETAMOL, RESFETAMOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB + CP 100 ML, C6R
516903501137413, RESFETAMOL, RESFETAMOL, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , C6R
516903502133411, RESFETAMOL, RESFETAMOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB + CP 100 ML, C6R
516903501137413, RESFETAMOL, RESFETAMOL, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , C6R
516903502133411, RESFETAMOL, RESFETAMOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB + CP 100 ML, C6R
516903501137413, RESFETAMOL, RESFETAMOL, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , C6R
516903502133411, RESFETAMOL, RESFETAMOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB + CP 100 ML, C6R
516903501137413, RESFETAMOL, RESFETAMOL, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , C6R
516903502133411, RESFETAMOL, RESFETAMOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB + CP 100 ML, C6R
516903501137413, RESFETAMOL, RESFETAMOL, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , C6R
516903502133411, RESFETAMOL, RESFETAMOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB + CP 100 ML, C6R
516903501137413, RESFETAMOL, RESFETAMOL, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , C6R
516903502133411, RESFETAMOL, RESFETAMOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB + CP 100 ML, C6R
516903501137413, RESFETAMOL, RESFETAMOL, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , C6R
516903502133411, RESFETAMOL, RESFETAMOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB + CP 100 ML, C6R
516903501137413, RESFETAMOL, RESFETAMOL, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , C6R
516903502133411, RESFETAMOL, RESFETAMOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB + CP 100 ML, C6R
516903501137413, RESFETAMOL, RESFETAMOL, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , C6R
516903502133411, RESFETAMOL, RESFETAMOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB + CP 100 ML, C6R
516903501137413, RESFETAMOL, RESFETAMOL, NOT FOUND, 100 MG/ML + 2 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , C6R
516903502133411, RESFETAMOL, RESFETAMOL, NOT FOUND, 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB + CP 100 ML, C6R
