525102801115415, INFLAMEX, INFLAMEX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, MDQ
525106302131116, IBUPROFENO, IBUPROFENO, IBUPROFENO, 100 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, MDQ
525113060019103, IBUPROMED, IBUPROMED, NOT FOUND, 100 MG / ML SUS OR CT FR PLAS OPC GOT X 20 ML, MDQ
525106303111119, IBUPROFENO, IBUPROFENO, IBUPROFENO, 200 MG COM REV CT BL AL PLAS INC X 20, MDQ
525113060018903, IBUPROMED, IBUPROMED, NOT FOUND, 400 MG COM REV CT BL AL PLAS TRANS X 100 (EMB MULT), MDQ
525106305112112, IBUPROFENO, IBUPROFENO, IBUPROFENO, 400 MG COM REV CT BL AL PLAS INC X 20, MDQ
525113060019003, IBUPROMED, IBUPROMED, NOT FOUND, 400 MG COM REV CT BL AL PLAS TRANS X 30, MDQ
525106306119110, IBUPROFENO, IBUPROFENO, IBUPROFENO, 400 MG COM REV CT BL AL PLAS INC X 100 (EMB MULT), MDQ
525106301133115, IBUPROFENO, IBUPROFENO, IBUPROFENO, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML, MDQ
525106304132111, IBUPROFENO, IBUPROFENO, IBUPROFENO, 50 MG/ML SUS OR CX 100 FR PLAS OPC GOT X 30 ML (EMB HOSP), MDQ
525113060019203, IBUPROMED, IBUPROMED, NOT FOUND, 50 MG / ML SUS OR CT FR PLAS OPC GOT X 30 ML, MDQ
