525101201173416, DELTAMETRIL, DELTAMETRIL, NOT FOUND, VD. C/ 100ML LOCAO, MDQ
525101202171417, DELTAMETRIL, DELTAMETRIL, NOT FOUND, VD. C/ 100ML SHAMPOO, MDQ
525101301135419, DIPIMED, DIPIMED, NOT FOUND, FRS. C/ 10ML, MDQ
525101302131417, DIPIMED, DIPIMED, NOT FOUND, FRS. C/ 20ML, MDQ
525101401113417, DIPIRON, DIPIRON, NOT FOUND, CX. C/ 100 COMP., MDQ
525101402111418, DIPIRON, DIPIRON, NOT FOUND, CX. C/ 200 COMP., MDQ
525106201139111, DIPIRONA SÓDICA MONOIDRATADA, DIPIRONA SODICA MONOIDRATADA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS GOT AMB X 10 ML , MDQ
525106202135111, DIPIRONA SÓDICA MONOIDRATADA, DIPIRONA SODICA MONOIDRATADA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS GOT AMB X 20 ML , MDQ
525101502114419, DIUREFLUX, DIUREFLUX, NOT FOUND, 25MG CX. C/ 42 COMP., MDQ
525101503110417, DIUREFLUX, DIUREFLUX, NOT FOUND, 50MG CX. C/ 28 COMP., MDQ
525101201173416, DELTAMETRIL, DELTAMETRIL, NOT FOUND, VD. C/ 100ML LOCAO, MDQ
525101202171417, DELTAMETRIL, DELTAMETRIL, NOT FOUND, VD. C/ 100ML SHAMPOO, MDQ
525101301135419, DIPIMED, DIPIMED, NOT FOUND, FRS. C/ 10ML, MDQ
525101302131417, DIPIMED, DIPIMED, NOT FOUND, FRS. C/ 20ML, MDQ
525101401113417, DIPIRON, DIPIRON, NOT FOUND, CX. C/ 100 COMP., MDQ
525101402111418, DIPIRON, DIPIRON, NOT FOUND, CX. C/ 200 COMP., MDQ
525106201139111, DIPIRONA SÓDICA MONOIDRATADA, DIPIRONA SODICA MONOIDRATADA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS GOT AMB X 10 ML , MDQ
525106202135111, DIPIRONA SÓDICA MONOIDRATADA, DIPIRONA SODICA MONOIDRATADA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS GOT AMB X 20 ML , MDQ
525101502114419, DIUREFLUX, DIUREFLUX, NOT FOUND, 25MG CX. C/ 42 COMP., MDQ
525101503110417, DIUREFLUX, DIUREFLUX, NOT FOUND, 50MG CX. C/ 28 COMP., MDQ
525101201173416, DELTAMETRIL, DELTAMETRIL, NOT FOUND, VD. C/ 100ML LOCAO, MDQ
525101202171417, DELTAMETRIL, DELTAMETRIL, NOT FOUND, VD. C/ 100ML SHAMPOO, MDQ
