525114060020206, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS AMB X 30, MDQ
525114060020306, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS AMB X 60, MDQ
525114060020406, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS AMB X 90, MDQ
525114060020506, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP), MDQ
525114060020606, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS AMB X 1000 (EMB HOSP), MDQ
525114060020706, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS AMB X 20, MDQ
525114060020806, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP), MDQ
525102702117411, HIDROFLUX, HIDROFLUX, NOT FOUND, 25 MG COM CT BL AL PLAS AMB X 1000 (EMB HOSP), MDQ
525102703113418, HIDROFLUX, HIDROFLUX, NOT FOUND, 25 MG COM CT BL AL PLAS AMB X 30, MDQ
525102704111419, HIDROFLUX, HIDROFLUX, NOT FOUND, 25 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP), MDQ
525102705116414, HIDROFLUX, HIDROFLUX, NOT FOUND, 25 MG COM CT BL AL PLAS AMB X 60, MDQ
525102706112412, HIDROFLUX, HIDROFLUX, NOT FOUND, 25 MG COM CT BL AL PLAS AMB X 90, MDQ
525102701110411, HIDROFLUX, HIDROFLUX, NOT FOUND, 50 MG COM CT BL AL PLAS AMB X 20  , MDQ
