1176600120025; NOVOSEVEN; NOVOSEVEN; NOT FOUND; 120 KUI (2.4 MG) PO LIOF CX FR VD INC +  4.3 ML + SER PLAST X 6 ML; N_N
1176600120033; NOVOSEVEN; NOVOSEVEN; NOT FOUND; 240 KUI (4.8 MG) PO LIOF CX FR VD INC + 8.5 ML + SER PLAST X 12 ML; N_N
1176600120017; NOVOSEVEN; NOVOSEVEN; NOT FOUND; 60 KUI (1.2 MG) PO LIOF CX FR VD INC +  2.2 ML + SER PLAST X 3 ML; N_N
1176600120041; NOVOSEVEN; NOVOSEVEN; NOT FOUND; 1 MG (50 KUI) PO LIOF INJ CT FR VD INC + FR VD INC DIL X 1.1 ML; N_N
1176600120051; NOVOSEVEN; NOVOSEVEN; NOT FOUND; 2 MG (100 KUI) PO LIOF INJ CT FR VD INC + FR VD INC DIL X 2.1 ML; N_N
1176600120068; NOVOSEVEN; NOVOSEVEN; NOT FOUND; 5 MG (250 KUI) PO LIOF INJ CT FR VD INC + FR VD INC DIL X 5.2 ML; N_N
1176600160027; NOVORAPID; NOVORAPID; NOT FOUND; 100 U/ML SOL INJ CT 5 CARP VD INC X 3 ML (PENFILL); N_N
1176600160086; NOVORAPID; NOVORAPID; NOT FOUND; 100 U/ML SOL INJ CX 01 CARP X 3 ML X 1 SIST APL PLAS; N_N
1176600160019; NOVORAPID; NOVORAPID; NOT FOUND; 100 U/ML SOL INJ CT FA VD INC X 10 ML; N_N
1176600160043; NOVORAPID; NOVORAPID; NOT FOUND; 100 U/ML SOL INJ CT 5 CARP VD INC X 3 ML X 5 SIST APLIC PLAST (FLEXPEN); N_N
1176600170022; NOVOMIX 30; NOVOMIX 30; NOT FOUND; 100 U/ML SUS INJ CT 5 CARP VD INC X 3 ML X 5 SIST APL PLAS (FLEXPEN); N_N
1176600170014; NOVOMIX 30; NOVOMIX 30; NOT FOUND; 100 U/ML SUS INJ CT 5 CARP VD INC X 3 ML (PENFILL); N_N
1176600160094; NOVORAPID; NOVORAPID; NOT FOUND; 100 U/ML SOL INJ CT 1 CARP VD INC X 3 ML + 1 SIST APLIC PLAST; N_N
1176600160108; NOVORAPID; NOVORAPID; NOT FOUND; 100 U/ML SOL INJ CT 5 CARP VD INC X 3 ML + 5 SIST APLIC PLAST 10; N_N
1176600040021; NOVOLIN N; NOVOLIN N; NOT FOUND; 100 UI/ML SUS INJ CT FA VD INC X 10 ML; N_N
1176600040031; NOVOLIN N; NOVOLIN N; NOT FOUND; 100 UI/ML SUS INJ CT 5 CARP VD INC X 3 ML (PENFILL); N_N
1176600030016; NOVOLIN R; NOVOLIN R; NOT FOUND; 100 UI/ML SOL INJ CT 1 FA VD INC X 10 ML; N_N
1176600030034; NOVOLIN R; NOVOLIN R; NOT FOUND; 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML (PENFILL); N_N
1176600040021; NOVOLIN N; NOVOLIN N; NOT FOUND; 100 UI/ML SUS INJ CT FA VD INC X 10 ML; N_N
1563258967415; NOVOLIN N; NOVOLIN N; NOT FOUND; CONTROLE; N_N
1523698745241; NOVOLIN R; NOVOLIN R; NOT FOUND; CONTROLE; N_N
1176600010025; NOVOLIN; NOVOLIN; NOT FOUND; 70/30 100 UI/ML SUSP INJ CT FR VD X 10 ML; N_N
1176600010017; NOVOLIN; NOVOLIN; NOT FOUND; 70/30 PENFILL 100 UI/ML SUSP INJ CT 5 REFIL FR VD X 1.5 ML; N_N
1176600010076; NOVOLIN; NOVOLIN; NOT FOUND; 70/30PENFILL 100 UI/ML SUSP INJ CX 5 REFIL FR VD X 3 ML; N_N
1176600010068; NOVOLIN; NOVOLIN; NOT FOUND; 80/20 PENFILL 100 UI/ML SUSP INJ CX 5 REFIL FR VD X 3 ML; N_N
1176600010041; NOVOLIN; NOVOLIN; NOT FOUND; 90/10 PENFILL 100 UI/ML SUSP INJ CX 5 REFIL FR VD X 3 ML; N_N
1176600020011; NOVOLIN; NOVOLIN; NOT FOUND; L 100 UI/ML SUSP INJ CX 1 FR AMP (100UI 10ML); N_N
1176600130012; NOVOLIN U; NOVOLIN U; NOT FOUND; 100 UI/ML SUS INJ CX FA VD INC X 10 ML; N_N
1176600040013; NOVOLIN; NOVOLIN; NOT FOUND; N PENFILL 100 UI/ML SUSP INJ CX 1 REFIL FR VD X 1.5 ML; N_N
1176600030024; NOVOLIN; NOVOLIN; NOT FOUND; R PENFILL 100 UI/ML SOL INJ CX 5 REFIL FR VD X 1.5 ML; N_N
1256385478526; NOVOLIN U; NOVOLIN U; NOT FOUND; CONTROLE; N_N
1057400410043; NITRONAL; NITRONAL; NOT FOUND; 1 MG/ML SOL INJ CX FR VD AMB X 50 ML; N_N
1057400410051; NITRONAL; NITRONAL; NOT FOUND; 0.4 MG/DOSE LIQ PULV CT FR VD INC NEBUL X 11.22 G; N_N
