1057400090030; INSULINA MISTA IOLIN NPH; INSULINA MISTA IOLIN NPH; NOT FOUND; 100 UI SUSP INJ CX/1 FR 10 ML; N_N
1057400050047; INSULINA MISTA IOLIN REGULAR; INSULINA MISTA IOLIN REGULAR; NOT FOUND; 100 UI SOL INJ CX/1 FR 10 ML; N_N
1057400040031; INSULINA SUÍNA NEOSULIN NPH; INSULINA SUINA NEOSULIN NPH; NOT FOUND; 100 UI SUSP INJ CX/1 FR 10 ML; N_N
1057400030046; INSULINA SUÍNA NEOSULIN REGULAR; INSULINA SUINA NEOSULIN REGULAR; NOT FOUND; 100 UI SOL INJ CX/1 FR 10 ML; N_N
1057400250020; INSULINA HUMANA BIOHULIN; INSULINA HUMANA BIOHULIN; NOT FOUND; 100 UI SUSP INJ CX/1 FR 10 ML; N_N
1057400250011; INSULINA HUMANA BIOHULIN; INSULINA HUMANA BIOHULIN; NOT FOUND; 100 UI SUSP INJ CX/5 CARPULES/1.5 ML; N_N
1057400250046; INSULINA HUMANA BIOHULIN; INSULINA HUMANA BIOHULIN; NOT FOUND; 100 UI SUSP INJ CX/3 CARPULES/3.0 ML; N_N
1057400330023; INSULINA HUMANA BIOHULIN; INSULINA HUMANA BIOHULIN; NOT FOUND; 100 UI SUSP INJ CX/1 FR 10 ML; N_N
1057400330015; INSULINA HUMANA BIOHULIN; INSULINA HUMANA BIOHULIN; NOT FOUND; 100 UI SUSP INJ CX/5 CARPULES/1.5 ML; N_N
1057400330041; INSULINA HUMANA BIOHULIN; INSULINA HUMANA BIOHULIN; NOT FOUND; 100 UI SUSP INJ CX/3 CARPULES/3.0 ML; N_N
1057400310014; INSULINA HUMANA BIOHULIN; INSULINA HUMANA BIOHULIN; NOT FOUND; 100 UI SUSP INJ CX/1 FR 10 ML; N_N
1057400310022; INSULINA HUMANA BIOHULIN; INSULINA HUMANA BIOHULIN; NOT FOUND; 100 UI SUSP INJ CX/5 CARPULES/1.5 ML; N_N
1057400310049; INSULINA HUMANA BIOHULIN; INSULINA HUMANA BIOHULIN; NOT FOUND; 100 UI SUSP INJ CX/3 CARPULES/3.0 ML; N_N
1057400140038; INSULINA HUMANA BIOHULIN LENTA; INSULINA HUMANA BIOHULIN LENTA; NOT FOUND; 100 UI SUSP INJ CX/1 FR 10 ML; N_N
1057400170034; INSULINA HUMANA BIOHULIN NPH; INSULINA HUMANA BIOHULIN NPH; NOT FOUND; 100 UI SUSP INJ CX/1 FR 10 ML; N_N
1057400170042; INSULINA HUMANA BIOHULIN NPH; INSULINA HUMANA BIOHULIN NPH; NOT FOUND; 100 UI SUSP INJ CX/5 CARPULES/1.5 ML; N_N
1057400170069; INSULINA HUMANA BIOHULIN NPH; INSULINA HUMANA BIOHULIN NPH; NOT FOUND; 100 UI SUSP INJ CX/3 CARPULES/3.0 ML; N_N
1057400150033; INSULINA HUMANA BIOHULIN REGULAR; INSULINA HUMANA BIOHULIN REGULAR; NOT FOUND; 100 UI SOL INJ CX/1 FR 10 ML; N_N
SI/NC; INSULINA HUMANA BIOHULIN REGULAR; INSULINA HUMANA BIOHULIN REGULAR; NOT FOUND; 100 UI SOL INJ CX/5 CARPULES/1.5 ML; N_N
1057400150068; INSULINA HUMANA BIOHULIN REGULAR; INSULINA HUMANA BIOHULIN REGULAR; NOT FOUND; 100 UI SOL INJ CX/3 CARPULES/3.0 ML; N_N
1057400160039; INSULINA HUMANA BIOHULIN ULTRALENTA; INSULINA HUMANA BIOHULIN ULTRALENTA; NOT FOUND; 100 UI SUSP INJ CX/1 FR 10 ML; N_N
1176600130012; INSULINA HUMANA; INSULINA HUMANA; INSULINA HUMANA; 100 UI/ML SUSP INJ CX FR VD X 10 ML; N_N
1057400220031; INSULINA SUÍNA MONOCOMPONENTE MONOLIN NPH; INSULINA SUINA MONOCOMPONENTE MONOLIN NPH; NOT FOUND; 100 UI SUSP INJ CX/1 FR 10 ML; N_N
1057400230037; INSULINA SUÍNA MONOCOMPONENTE MONOLIN REGULAR; INSULINA SUINA MONOCOMPONENTE MONOLIN REGULAR; NOT FOUND; 100 UI SOL INJ CX/1 FR 10 ML; N_N
1057400060034; INSULINA SUÍNA NEOSULIN LENTA; INSULINA SUINA NEOSULIN LENTA; NOT FOUND; 100 UI SUSP INJ CX/1 FR 10 ML; N_N
