56634, RAPILAX , RAPILAX, NOT FOUND, GOTAS 20 ML x 1, HTZ
101686, RAPILAX , RAPILAX, NOT FOUND, GOTAS 7.50 MG 30 ML x 1 (/ML), HTZ
32878, RELAFLEX , RELAFLEX, NOT FOUND, CPR x 12, HTZ
60637, RELAFLEX , RELAFLEX, NOT FOUND, CPR x 144, HTZ
66489, RESFENOL , RESFENOL, NOT FOUND, CAPS x 120, HTZ
48418, RESFENOL , RESFENOL, NOT FOUND, CAPS x 20, HTZ
80696, RESFENOL , RESFENOL, NOT FOUND, CAPS x 200, HTZ
156842, RESFENOL , RESFENOL, NOT FOUND, CAPS x 240, HTZ
54909, RESFENOL , RESFENOL, NOT FOUND, GOTAS 20 ML x 1, HTZ
48419, RESFENOL , RESFENOL, NOT FOUND, XAROPE TANG 100 ML x 1, HTZ
91424, RESFENOL THERMUS , RESFENOL THERMUS, NOT FOUND, GOTAS BEBE 100 MG 15 ML x 1 (/ML), HTZ
81738, RESFENOL THERMUS , RESFENOL THERMUS, NOT FOUND, PO ENV 500 MG 5 G x 50, HTZ
70182, RINOMAX , RINOMAX, NOT FOUND, SOLN NASAL 30 ML x 1, HTZ
75833, RINOSOFT S , RINOSOFT S, NOT FOUND, GOTAS NASAL 0.09 MG 30 ML x 1, HTZ
47157, RITMONEURAN , RITMONEURAN, NOT FOUND, CAPS x 20, HTZ
32680, RITMONEURAN , RITMONEURAN, NOT FOUND, SOLN 100 ML x 1, HTZ
141251, RITMONEURAN RTM , RITMONEURAN RTM, NOT FOUND, CAPS x 120, HTZ
79954, RITMONEURAN RTM , RITMONEURAN RTM, NOT FOUND, CAPS x 20, HTZ
109725, RITMONEURAN RTM , RITMONEURAN RTM, NOT FOUND, CAPS x 40, HTZ
101291, RITMONEURAN RTM , RITMONEURAN RTM, NOT FOUND, FLAC 10 ML x 24, HTZ
79955, RITMONEURAN RTM , RITMONEURAN RTM, NOT FOUND, SOL . 100 ML x 1, HTZ
