5981, LANOXIN , LANOXIN, NOT FOUND, CPR 0.25 MG x 40, A3N
31163, LANVIS , LANVIS, NOT FOUND, CPR 40 MG x 25, A3N
6105, LEITE MAG.PHILLIPS , LEITE MAG PHILLIPS, NOT FOUND, LIQD 120 ML x 1, A3N
6107, LEITE MAG.PHILLIPS , LEITE MAG PHILLIPS, NOT FOUND, LIQD 350 ML x 1, A3N
45359, LEITE MAG.PHILLIPS , LEITE MAG PHILLIPS, NOT FOUND, LIQD HORTELA 120 ML x 1, A3N
45360, LEITE MAG.PHILLIPS , LEITE MAG PHILLIPS, NOT FOUND, LIQD HORTELA 350 ML x 1, A3N
54872, LEUKERAN , LEUKERAN, NOT FOUND, CPR 2 MG x 25, A3N
57278, LICOVIT , LICOVIT, NOT FOUND, CAPS 5 MG x 30, A3N
57279, LIVTEN , LIVTEN, NOT FOUND, CAPS GELATIN 500 MG x 30, A3N
57280, LIVTEN L , LIVTEN L, NOT FOUND, CAPS GELATIN 1000 MG x 30, A3N
73838, LOZIX , LOZIX, NOT FOUND, CAPS 20 MG x 28, A3N
