70244, FERRINI , FERRINI, NOT FOUND, CPR REVEST 50 MG x 30, A3N
70245, FERRINI , FERRINI, NOT FOUND, GOTAS 20 MG 30 ML x 1 (/ML), A3N
70246, FERRINI , FERRINI, NOT FOUND, LIQD 25 MG 100 ML x 1 (/5ML), A3N
62093, FERRINI FOLICO , FERRINI FOLICO, NOT FOUND, CPR REVEST x 30, A3N
62094, FERRINI FOLICO , FERRINI FOLICO, NOT FOUND, GOTAS 30 ML x 1, A3N
62095, FERRINI FOLICO , FERRINI FOLICO, NOT FOUND, LIQD 100 ML x 1, A3N
69027, FLOGIRAX , FLOGIRAX, NOT FOUND, CPR 200 MG x 20, A3N
69028, FLOGIRAX , FLOGIRAX, NOT FOUND, CPR 400 MG x 20, A3N
62209, FLOXEN , FLOXEN, NOT FOUND, CPR REVEST 500 MG x 50, A3N
78322, FLUIJET , FLUIJET, NOT FOUND, CAPS 56.2 MG x 20, A3N
75559, FLUIJET , FLUIJET, NOT FOUND, XAR. 75 MG 100 ML x 1 (/ML), A3N
64781, FORMET , FORMET, NOT FOUND, CPR REVEST 850 MG x 200, A3N
