77486; PAMIGEN ; PAMIGEN; NOT FOUND; F.AMP 1 G 10 ML x 1; ZD1
77487; PAMIGEN ; PAMIGEN; NOT FOUND; F.AMP 200 MG 10 ML x 1; ZD1
72443; PARATRAM ; PARATRAM; NOT FOUND; CPR 37.5 MG x 10 (/325); ZD1
79625; PARATRAM ; PARATRAM; NOT FOUND; CPR 37.5 MG x 20 (/325); ZD1
113291; PARATRAM ; PARATRAM; NOT FOUND; CPR 37.5 MG x 30 (/325); ZD1
57783; PAREXEL ; PAREXEL; NOT FOUND; F.AMP 100 MG 16.5 ML x 1; ZD1
61822; PAREXEL ; PAREXEL; NOT FOUND; F.AMP 150 MG 25 ML x 1; ZD1
57782; PAREXEL ; PAREXEL; NOT FOUND; F.AMP 30 MG 5 ML x 1; ZD1
65432; PAREXEL ; PAREXEL; NOT FOUND; F.AMP 300 MG 50 ML x 1; ZD1
113382; PEMEKER ; PEMEKER; NOT FOUND; F.A PO LIOF 500 MG x 1; ZD1
90921; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 150 MG x 14; ZD1
90916; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 150 MG x 28; ZD1
164082; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 50 MG x 14; ZD1
164083; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 50 MG x 28; ZD1
90918; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 75 MG x 14; ZD1
90920; PREBICTAL ; PREBICTAL; NOT FOUND; CAPS 75 MG x 28; ZD1
52684; PROLEUKIN ; PROLEUKIN; NOT FOUND; F.INFUSAO 1 MG 1.20 ML x 1; ZD1
78442; PYRIDIUM ; PYRIDIUM; NOT FOUND; DRAG 100 MG x 12; ZD1
8844; PYRIDIUM ; PYRIDIUM; NOT FOUND; DRAG 100 MG x 25; ZD1
8845; PYRIDIUM ; PYRIDIUM; NOT FOUND; DRAG 200 MG x 18; ZD1
