64596, TAMSULON , TAMSULON, NOT FOUND, CAPS L.P. 0.40 MG x 20, ZD1
64595, TAMSULON , TAMSULON, NOT FOUND, CAPS L.P. 0.40 MG x 30, ZD1
54122, TECNOCARB , TECNOCARB, NOT FOUND, F.AMP LIOF 150 MG x 1, ZD1
54123, TECNOCARB , TECNOCARB, NOT FOUND, F.AMP LIOF 450 MG x 1, ZD1
56241, TECNOCRIS , TECNOCRIS, NOT FOUND, F.AMP LIOF 1 MG 1 ML x 1, ZD1
68590, TECNOMAX , TECNOMAX, NOT FOUND, F.AMP LIOF 50 MG x 1, ZD1
62129, TECNOMET , TECNOMET, NOT FOUND, CPR 2.50 MG x 20, ZD1
60963, TECNOMET , TECNOMET, NOT FOUND, CPR 2.50 MG x 50, ZD1
50029, TECNOMICINA , TECNOMICINA, NOT FOUND, F.AMP SOLV 15 MG x 1, ZD1
54146, TECNOPLATIN , TECNOPLATIN, NOT FOUND, F.INFUS.LIOF 10 MG x 1, ZD1
54147, TECNOPLATIN , TECNOPLATIN, NOT FOUND, F.INFUS.LIOF 50 MG x 1, ZD1
49066, TECNOTAX , TECNOTAX, NOT FOUND, CPR 10 MG x 30, ZD1
49067, TECNOTAX , TECNOTAX, NOT FOUND, CPR 20 MG x 30, ZD1
58974, TECNOTECAN , TECNOTECAN, NOT FOUND, F.AMP LIOF 100 MG x 1, ZD1
61223, TECNOTECAN , TECNOTECAN, NOT FOUND, F.AMP LIOF 40 MG 2 ML x 1, ZD1
50390, TECNOVORIN , TECNOVORIN, NOT FOUND, F.AMP 50 MG 20 ML x 1, ZD1
160513, TRIDEVIT , TRIDEVIT, NOT FOUND, CPR MAST 5 Y x 120, ZD1
160512, TRIDEVIT , TRIDEVIT, NOT FOUND, CPR MAST 5 Y x 60, ZD1
160510, TRIDEVIT , TRIDEVIT, NOT FOUND, GOTAS 5 Y 10 ML x 1, ZD1
160511, TRIDEVIT , TRIDEVIT, NOT FOUND, GOTAS 5 Y 20 ML x 1, ZD1
