3028, DEFATIG , DEFATIG, NOT FOUND, DRAG x 20, FAS
69159, DESCON NF , DESCON NF, NOT FOUND, CAPS GEL x 100, FAS
69160, DESCON NF , DESCON NF, NOT FOUND, CAPS GEL x 12, FAS
69479, DESCON NF , DESCON NF, NOT FOUND, CAPS GEL x 40, FAS
62028, DESCON NF , DESCON NF, NOT FOUND, CAPS GELATIN x 20, FAS
62029, DESCON NF , DESCON NF, NOT FOUND, GOTAS 20 ML x 1, FAS
62030, DESCON NF , DESCON NF, NOT FOUND, SOLN ORAL 120 ML x 1, FAS
75459, DESCON RINUS , DESCON RINUS, NOT FOUND, GOTAS 20 ML x 1, FAS
65156, DIGEDRAT , DIGEDRAT, NOT FOUND, CAPS 200 MG x 20, FAS
70306, DIGEDRAT , DIGEDRAT, NOT FOUND, CAPS 200 MG x 30, FAS
70307, DIGEDRAT , DIGEDRAT, NOT FOUND, CAPS 200 MG x 60, FAS
70124, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), FAS
