6948; M.M. EXPECTORANTE ; M M EXPECTORANTE; NOT FOUND; XAROPE 120 ML x 1; FAS
6503; MAGNOPYROL ; MAGNOPYROL; NOT FOUND; CPR 500 MG x 200; FAS
54691; MAGNOPYROL ; MAGNOPYROL; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); FAS
53508; MAGNOPYROL ; MAGNOPYROL; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); FAS
60705; MAGNOPYROL ; MAGNOPYROL; NOT FOUND; SOL ORAL CHO 100 ML x 1; FAS
32546; MAGNOPYROL ; MAGNOPYROL; NOT FOUND; SUP. 300 MG x 5; FAS
69860; MAXSULID ; MAXSULID; NOT FOUND; CPR 400 MG x 10; FAS
68498; MELOXICAM MG ; MELOXICAM; MELOXICAM; A.IM 10 MG 1.50 ML x 5 (/ML); FAS
6790; METIOCOLIN B12 ; METIOCOLIN B12; NOT FOUND; DRAG x 40; FAS
30619; METIOCOLIN CPTO ; METIOCOLIN CPTO; NOT FOUND; AMP.OR 10 ML x 100; FAS
30330; METIOCOLIN CPTO ; METIOCOLIN CPTO; NOT FOUND; AMP.OR 10 ML x 12; FAS
6927; MIOFLEX ; MIOFLEX; NOT FOUND; CPR x 16; FAS
64797; MIOFLEX-A ; MIOFLEX A; NOT FOUND; CPR x 12; FAS
