48829, LIPANON , LIPANON, NOT FOUND, CAPS RETARD 250 MG x 30, FAS
68738, LIPANON , LIPANON, NOT FOUND, CAPS RETARD 250 MG x 15, FAS
61874, LISADOR , LISADOR, NOT FOUND, CPR x 16, FAS
59363, LISADOR , LISADOR, NOT FOUND, CPR 500 MG x 25 X8, FAS
6283, LISADOR , LISADOR, NOT FOUND, CPR x 100, FAS
6284, LISADOR , LISADOR, NOT FOUND, CPR x 12, FAS
59500, LISADOR , LISADOR, NOT FOUND, GOTAS 20 ML x 1, FAS
6287, LISADOR , LISADOR, NOT FOUND, GOTAS 15 ML x 1, FAS
6290, LISADOR INJETAVEL , LISADOR INJETAVEL, NOT FOUND, AMP. 2 ML x 50, FAS
6289, LISADOR INJETAVEL , LISADOR INJETAVEL, NOT FOUND, AMP. 2 ML x 3, FAS
6288, LISADOR INJETAVEL , LISADOR INJETAVEL, NOT FOUND, AMP. 2 ML x 100, FAS
71468, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 20 MG x 30, FAS
73329, LOPIGREL , LOPIGREL, NOT FOUND, CPR REVEST 75 MG x 28, FAS
73328, LOPIGREL , LOPIGREL, NOT FOUND, CPR REVEST 75 MG x 14, FAS
52114, LORALERG , LORALERG, NOT FOUND, CPR 10 MG x 10, FAS
52115, LORALERG , LORALERG, NOT FOUND, XAROPE 5 MG 60 ML x 1 (/5ML), FAS
52116, LORALERG-D , LORALERG D, NOT FOUND, CPR REVEST x 10, FAS
52117, LORALERG-D , LORALERG D, NOT FOUND, XAROPE 60 ML x 1, FAS
68493, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 30, FAS
70866, LUCRETEEN , LUCRETEEN, NOT FOUND, SABAO LIQD 200 ML x 1, FAS
73424, LUCRETEEN , LUCRETEEN, NOT FOUND, K S LIQ/ABS 200 ML x 1, FAS
45281, LUCRETIN , LUCRETIN, NOT FOUND, POLVO ENVELO 4 G x 20, FAS
72568, LUCRETIN , LUCRETIN, NOT FOUND, DISP LENC MU x 12, FAS
112699, LUCRETIN , LUCRETIN, NOT FOUND, KS I FL+C VE 400 ML x 1, FAS
66847, LUCRETIN , LUCRETIN, NOT FOUND, SAB LIQ MULH 200 ML x 1, FAS
73073, LUCRETIN , LUCRETIN, NOT FOUND, S L M CHA VE 200 ML x 1, FAS
79795, LUCRETIN , LUCRETIN, NOT FOUND, SAB LIQ MATU 200 ML x 1, FAS
71350, LUCRETIN , LUCRETIN, NOT FOUND, K MULH/ABS 200 ML x 1, FAS
79794, LUCRETIN , LUCRETIN, NOT FOUND, SAB LQ S STA 200 ML x 1, FAS
73074, LUCRETIN , LUCRETIN, NOT FOUND, K MULH/L U 200 ML x 1, FAS
79796, LUCRETIN , LUCRETIN, NOT FOUND, SAB LIQ GEST 200 ML x 1, FAS
73075, LUCRETIN , LUCRETIN, NOT FOUND, S L M VERAO 200 ML x 1, FAS
101817, LUCRETIN , LUCRETIN, NOT FOUND, K DUO MU FLO 200 ML x 1, FAS
73471, LUCRETIN , LUCRETIN, NOT FOUND, LENCO MU SAC x 10, FAS
66846, LUCRETIN , LUCRETIN, NOT FOUND, SAB LIQ INF 200 ML x 1, FAS
71349, LUCRETIN , LUCRETIN, NOT FOUND, K INF/L U 200 ML x 1, FAS
73186, LUCRETIN , LUCRETIN, NOT FOUND, KIT INF+ESP 200 ML x 1, FAS
164636, LYDIAN , LYDIAN, NOT FOUND, CPR REVEST x 21, FAS
164637, LYDIAN , LYDIAN, NOT FOUND, CPR REVEST x 63, FAS
