57374; PANGEST ; PANGEST; NOT FOUND; CAPS 10 MG x 20; FAS
68501; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; FAS
68502; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; FAS
68500; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); FAS
66571; PARAPSYL ; PARAPSYL; NOT FOUND; SACHETS 10 G x 10; FAS
70881; PAXORAL ; PAXORAL; NOT FOUND; CAPS 3.50 MG x 10 (PAED); FAS
70880; PAXORAL ; PAXORAL; NOT FOUND; CAPS 7 MG x 10 (ADLT); FAS
91073; PAXORAL ; PAXORAL; NOT FOUND; CAPS 7 MG x 30; FAS
50297; PENTOX ; PENTOX; NOT FOUND; AMP. 100 MG 5 ML x 5; FAS
50298; PENTOX ; PENTOX; NOT FOUND; CPR 400 MG x 20; FAS
48486; PEPTULAN ; PEPTULAN; NOT FOUND; CPR 120 MG x 28; FAS
63877; PERIDAL ; PERIDAL; NOT FOUND; CPR 10 MG x 30; FAS
63878; PERIDAL ; PERIDAL; NOT FOUND; CPR 10 MG x 60; FAS
71724; PERIDAL ; PERIDAL; NOT FOUND; SUSP 1 MG 100 ML x 1 (/ML); FAS
8784; PSICOSEDIN ; PSICOSEDIN; NOT FOUND; CPR 10 MG x 20; FAS
8786; PSICOSEDIN ; PSICOSEDIN; NOT FOUND; CPR 25 MG x 20; FAS
