70113; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); FAS
70112; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); FAS
140271; ADDERA CPR D3 ; ADDERA CPR D3; NOT FOUND; CPR REVEST 1000 IU x 30; FAS
140275; ADDERA CPR D3 ; ADDERA CPR D3; NOT FOUND; CPR REVEST 50 K x 4; FAS
140276; ADDERA CPR D3 ; ADDERA CPR D3; NOT FOUND; CPR REVEST 7000 IU x 4; FAS
77759; ADDERA D3 ; ADDERA D3; NOT FOUND; SOLN ORAL 10 ML x 1; FAS
28082; AMPLIUM ; AMPLIUM; NOT FOUND; CPR 500 MG x 4; FAS
28083; AMPLIUM ; AMPLIUM; NOT FOUND; CPR 500 MG x 8; FAS
57669; AMPLIUM-G ; AMPLIUM G; NOT FOUND; CR.VAG.14APL 80 G x 1; FAS
642; ANASEPTIL ; ANASEPTIL; NOT FOUND; PO 10 G x 1; FAS
49768; ANTIFLOGIL ; ANTIFLOGIL; NOT FOUND; CPR REVEST 100 MG x 12; FAS
831; ANTIGERON ; ANTIGERON; NOT FOUND; CPR 25 MG x 30; FAS
30645; ANTIGERON ; ANTIGERON; NOT FOUND; CPR AP. 75 MG x 30; FAS
27795; ANTIGERON ; ANTIGERON; NOT FOUND; GOTAS 25 MG 30 ML x 1 (/ML); FAS
30738; ARTRIL ; ARTRIL; NOT FOUND; CAPS 300 MG x 20; FAS
46269; ARTRIL ; ARTRIL; NOT FOUND; CPR 600 MG x 20; FAS
48092; ATENS ; ATENS; NOT FOUND; CPR 20 MG x 20; FAS
68471; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; FAS
