58687, CEFAZIMA , CEFAZIMA, NOT FOUND, F.AMP S/DILU 1 G x 50, I_B
55139, CEFAZIMA , CEFAZIMA, NOT FOUND, F.AMP SOLV 1 G x 1, I_B
61739, CEMAX , CEMAX, NOT FOUND, F.AMP C/DILU 1 G 3 ML x 1, I_B
69474, CEMAX , CEMAX, NOT FOUND, F.AMP S/DILU 2 G x 50, I_B
58690, CEZOLIN , CEZOLIN, NOT FOUND, F.AMP C/DILU 1 G 3 ML x 1, I_B
58691, CEZOLIN , CEZOLIN, NOT FOUND, F.AMP S/DILU 1 G x 50, I_B
77153, CLOR.CEFEPIMA MG , CLOR CEFEPIMA, CLORIDRATO CEFEPIMA, F.AMP 1 G x 50, I_B
77506, CLOR.CEFEPIMA MG , CLOR CEFEPIMA, CLORIDRATO CEFEPIMA, F.AMP 2 G x 50, I_B
69478, CLORTAMINA , CLORTAMINA, NOT FOUND, F.AMP 50 MG 10 ML x 5 (/ML), I_B
163243, CUTENOX , CUTENOX, NOT FOUND, SER PR-EN DS 40 MG 0.40 ML x 10, I_B
163244, CUTENOX , CUTENOX, NOT FOUND, SER PR-EN DS 60 MG 0.60 ML x 2, I_B
163242, CUTENOX , CUTENOX, NOT FOUND, SER PR-EN DS 80 MG 0.80 ML x 2, I_B
61566, CUTENOX , CUTENOX, NOT FOUND, SER.PRE-ENCH 20 MG 0.20 ML x 10, I_B
61569, CUTENOX , CUTENOX, NOT FOUND, SER.PRE-ENCH 40 MG 0.40 ML x 10, I_B
61570, CUTENOX , CUTENOX, NOT FOUND, SER.PRE-ENCH 60 MG 0.60 ML x 2, I_B
