526124401169115; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; GM2
526124301164111; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 45 G + 10 APLIC; GM2
526114040091704; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 160 MG + 10 MG COM REV CT BL AL AL X 30; GM2
526114040092104; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 320 MG + 10 MG COM REV CT BL AL AL X 30; GM2
526114040091304; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 80 MG + 5 MG COM REV CT BL AL AL X 30; GM2
526114040091404; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 10; GM2
526114040091504; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 30; GM2
526114040091604; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 60; GM2
526114040091804; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 10; GM2
526114040091904; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 30; GM2
526114040092004; COSARTAN ALP; COSARTAN ALP; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 60; GM2
526114060092803; CLOPIPLAX; CLOPIPLAX; NOT FOUND; 75 MG COM REV CT BL AL AL X 14 ; GM2
526114060092903; CLOPIPLAX; CLOPIPLAX; NOT FOUND; 75 MG COM REV CT BL AL AL X 28; GM2
526134201111412; CITAGRAN; CITAGRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; GM2
526122501131113; CITRATO DE ORFENADRINA + DIPIRONA SÓDICA + CAFEÍNA ANIDRA; CITRATO ORFENADRINA DIPIRONA SODICA CAFEINA ANIDRA; NOT FOUND; 35 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GM2
526113100089804; CANDEMED; CANDEMED; NOT FOUND; 16 MG COM CT BL AL PLAS OPC X 30; GM2
526113120090606; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 16 MG COM CT BL AL PLAS OPC X 30; GM2
526113100089704; CANDEMED; CANDEMED; NOT FOUND; 8 MG COM CT BL AL PLAS OPC X 30; GM2
526113120090506; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 8 MG COM CT BL AL PLAS OPC X 30; GM2
526114040091204; CANDEMED HCT; CANDEMED HCT; NOT FOUND; 16 MG + 12.5 MG CT BL AL PLAS OPC X 30; GM2
526114040091104; CANDEMED HCT; CANDEMED HCT; NOT FOUND; 8 MG + 12.5 MG CT BL AL PLAS OPC X 30; GM2
526114040092206; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; GM2
526114040092306; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; GM2
526101701115119; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30 ; GM2
526101702111117; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30 ; GM2
526101703118115; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30 ; GM2
526101801111115; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20; GM2
526101803112119; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 20; GM2
526112120087606; CARBAMAZEPINA  (PORT 344/98 LISTA C1); CARBAMAZEPINA PORT 344 98 LISTA C1; NOT FOUND; 400 MG COM REV DESINT LENTA CT BL AL PLAS OPC X 20 ; GM2
526112120087706; CARBAMAZEPINA  (PORT 344/98 LISTA C1); CARBAMAZEPINA PORT 344 98 LISTA C1; NOT FOUND; 400 MG COM REV DESINT LENTA CT BL AL PLAS OPC X 60 (EMB HOSP); GM2
526117004133111; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GM2
526117005131112; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GM2
526117001134117; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML SOL OR CT FR VD AMB X 20 ML; GM2
526112070085706; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 30; GM2
526112070085806; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 60; GM2
526112070085906; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 30; GM2
526112070086006; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 60; GM2
526112070085306; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 30; GM2
526112070085406; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 60; GM2
526112070085506; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 30; GM2
526112070085606; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 60; GM2
526120301119113; CEFACLOR; CEFACLOR; CEFACLOR; 250MG CAP GEL DURA   CT BL AL PLAS LEIT X 10; GM2
526120302115111; CEFACLOR; CEFACLOR; CEFACLOR; 500MG CAP GEL DURA   CT BL AL PLAS LEIT X 10  ; GM2
526125701131111; CEFACLOR; CEFACLOR; CEFACLOR; 50 MG/ML SUS OR CT FR VD AMB X 100 ML + SER PLAS DOSAD; GM2
526125702138111; CEFACLOR; CEFACLOR; CEFACLOR; 75 MG/ML SUS OR CT FR VD AMB X 100 ML + SER PLAS DOSAD; GM2
526120401113117; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; 1G COM REV CT BL AL PLAS LEIT X 8; GM2
526120402111118; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; 500 MG COM REV CT BL AL PLAS LEIT X 8; GM2
526120502165112; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; GM2
526120501118110; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS OPC X 10; GM2
526122402168116; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30G; GM2
526122401161118; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30G ; GM2
526132302166410; CANDIGRAN; CANDIGRAN; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G ; GM2
526120601163118; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; GM2
526120602161119; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G; GM2
526115001161118; CETOPROFENO; CETOPROFENO; CETOPROFENO; 25 MG/G GEL CT BG AL X 30 G; GM2
526115003156111; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); GM2
526130501171116; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML; GM2
526102301110118; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 100 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50; GM2
526127001137113; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 100 MG/ML SOL OR C/ MCEMU CT FR VD AMB X 50 ML + 2 SER DOSAD; GM2
526102302117116; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 25 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50; GM2
526102303113114; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 50 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50; GM2
526133002115118; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS OPC X 4; GM2
526133001119111; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS OPC X 4; GM2
526133003111116; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 1; GM2
526133004118114; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 2; GM2
526133005114112; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 4; GM2
526133006110110; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 8; GM2
526120702113116; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS LEIT X 20; GM2
526120703111117; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS LEIT X 30; GM2
526120701133113; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB CGT X 20ML ; GM2
526124101130116; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GM2
526124102137114; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GM2
526113901114111; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 2.5 MG + 25 MG COM CT BL AL PLAS LEITOSO X 30; GM2
526113902110118; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 50 MG COM CT BL AL PLAS LEITOSO X 30; GM2
526128602118111; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS OPC X 30; GM2
526128601111113; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 75 MG COM REV CT BL AL PLAS OPC X 20 ; GM2
526126201175118; CLORIDRATO DE AZELASTINA; CLORIDRATO AZELASTINA; CLORIDRATO AZELASTINA; 1 MG/ML SOL NAS CT FR PLAS AMB SPRAY X 10 ML ; GM2
526122101176111; CLORIDRATO DE BETAXOLOL; CLORIDRATO BETAXOLOL; CLORIDRATO BETAXOLOL; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML ; GM2
526127101131117; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR VD AMB X 120 ML  + CP MED; GM2
526127102138115; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; GM2
526137002111115; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB LENT CT BL AL AL X 30; GM2
526137001113114; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB LENT CT BL AL AL X 60; GM2
526130902115111; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 10; GM2
526130903111118; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 15; GM2
526130901119111; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 30; GM2
526130904118116; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS OPC X 10; GM2
526130905114114; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS OPC X 15; GM2
526130906110112; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS OPC X 30; GM2
526120903119111; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS OPC X 14; GM2
526120902171111; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 3 MG/ML SOL OFT CT FR PLAS OPC  GOT X 5 ML; GM2
526120901167119; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 3.5MG/G POM OFT CT BG AL X 3.5G ; GM2
526120904115111; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; GM2
526128801171111; CLORIDRATO DE CIPROFLOXACINO + DEXAMETASONA; CLORIDRATO CIPROFLOXACINO DEXAMETASONA; NOT FOUND; 3.5MG/ML + 1MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML; GM2
526126301110115; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 16; GM2
526127201136110; CLORIDRATO DE CLOBUTINOL; CLORIDRATO CLOBUTINOL; CLORIDRATO CLOBUTINOL; 4 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; GM2
526113301117118; CLORIDRATO DE CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; 10 MG COM REV CT  BL AL PLAS INC X 20; GM2
526113302113116; CLORIDRATO DE CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; CLORIDRATO CLOMIPRAMINA; 25 MG COM REV CT BL AL PLAS INC X 20; GM2
526117101112115; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 30 MG COM CT FR PLAS OPC X 50; GM2
526117102119113; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT FR PLAS OPC X 25; GM2
526117103115111; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT FR PLAS OPC X 50; GM2
526121001151117; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 12.5 MG/ML SOL INJ CT 50 AMP VD INC X 20 ML (EMB HOSP); GM2
526130601174117; CLORIDRATO DE DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; 20 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; GM2
526131301174111; CLORIDRATO DE DORZOLAMIDA+MALEATO DE TIMOLOL; CLORIDRATO DORZOLAMIDA MALEATO TIMOLOL; NOT FOUND; 20 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; GM2
526114601114112; CLORIDRATO DE DOXICICLINA; CLORIDRATO DOXICICLINA; CLORIDRATO DOXICICLINA; 100 MG COM REV CT BL AL PLAS INC X 15; GM2
526126501179119; CLORIDRATO DE FENOXAZOLINA; CLORIDRATO FENOXAZOLINA; CLORIDRATO FENOXAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML ; GM2
