53121, FENOZAN , FENOZAN, NOT FOUND, GOTAS 5 MG 20 ML x 1 (/ML), ZAM
53122, FENOZAN , FENOZAN, NOT FOUND, XAR. PED. 1.25 MG 120 ML x 1 (/5ML), ZAM
64877, FISIOGEN SOY , FISIOGEN SOY, NOT FOUND, CPR REVEST 200 MG x 28, ZAM
72144, FLUIMARE , FLUIMARE, NOT FOUND, SPRAY NASAL 9 MG 50 ML x 1 (/ML), ZAM
72620, FLUIMARE HT , FLUIMARE HT, NOT FOUND, SPRAY NASAL 30 MG 50 ML x 1 (/ML), ZAM
98105, FLUIMUCIL , FLUIMUCIL, NOT FOUND, CPR EFER 200 MG x 16, ZAM
51551, FLUIMUCIL , FLUIMUCIL, NOT FOUND, CPR EFER 600 MG x 16, ZAM
55004, FLUIMUCIL , FLUIMUCIL, NOT FOUND, GRAN D ENV. 600 MG 5 G x 16, ZAM
55002, FLUIMUCIL , FLUIMUCIL, NOT FOUND, GRAN ENVELO. 100 MG 5 G x 16 (INF), ZAM
55003, FLUIMUCIL , FLUIMUCIL, NOT FOUND, GRAN ENVELO. 200 MG 5 G x 16 (ADLT), ZAM
72145, FLUIMUCIL , FLUIMUCIL, NOT FOUND, GRAN ENVELO. 200 MG 5 G x 6, ZAM
4505, FLUIMUCIL , FLUIMUCIL, NOT FOUND, GRAN ENVELO. 200 MG x 15 (ADLT), ZAM
51594, FLUIMUCIL , FLUIMUCIL, NOT FOUND, XAR. 20 MG 100 ML x 1 (/ML), ZAM
51552, FLUIMUCIL , FLUIMUCIL, NOT FOUND, XAR. 20 MG 150 ML x 1 (/ML), ZAM
62717, FLUIMUCIL , FLUIMUCIL, NOT FOUND, XAR. AD 120 ML x 1, ZAM
62718, FLUIMUCIL , FLUIMUCIL, NOT FOUND, XAR. PED. 120 ML x 1, ZAM
73783, FLUIMUCIL , FLUIMUCIL, NOT FOUND, XPE BEBE 20 MG 60 ML x 1 (/ML), ZAM
4503, FLUIMUCIL INJETAVE , FLUIMUCIL INJETAVE, NOT FOUND, AMP. 10 % 3 ML x 5, ZAM
62071, FLUIMUCIL NASAL , FLUIMUCIL NASAL, NOT FOUND, SOLN NASAL 20 ML x 1, ZAM
