510801401134417; CARBOTOSS; CARBOTOSS; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML; GP8
510801604167417; CETOMIZOL; CETOMIZOL; NOT FOUND; 20 MG/G CREM CT BG X 30 G; GP8
510801605163415; CETOMIZOL; CETOMIZOL; NOT FOUND; 20 MG/G CREM CT50 BG X 30 G; GP8
510801601117419; CETOMIZOL; CETOMIZOL; NOT FOUND; 200 MG CX C/ 10 CPR; GP8
510801602113417; CETOMIZOL; CETOMIZOL; NOT FOUND; 200 MG COM CT 20 BL AL PLAS INC X 10 (EMB HOSP); GP8
510801603111418; CETOMIZOL; CETOMIZOL; NOT FOUND; 200 MG COM CT 3 BL AL PLAS X 10; GP8
510801703157411; CINTIDINA; CINTIDINA; NOT FOUND; 300MG SOL INJ CX 50 AMP VD INC X 2ML (EMB HOSP); GP8
510801704153418; CINTIDINA; CINTIDINA; NOT FOUND; 300MG SOL INJ CX 100 AMP VD INC X 2ML (EMB HOSP); GP8
510801701111412; CINTIDINA; CINTIDINA; NOT FOUND; 200 MG CX C/ 20 CPR; GP8
510801702118410; CINTIDINA; CINTIDINA; NOT FOUND; 200 MG CX C/ 200 CPR; GP8
510801705117415; CINTIDINA; CINTIDINA; NOT FOUND; 400 MG COM CX ENV KRAFT X 20; GP8
510801801116416; CIPROFLOXIL; CIPROFLOXIL; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; GP8
510801804115410; CIPROFLOXIL; CIPROFLOXIL; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; GP8
510802201112418; CORIZIN; CORIZIN; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT BL AL PLAS INC X 20; GP8
510801901161413; CLOTRIDERM; CLOTRIDERM; NOT FOUND; 10MG/G CREM DERM CT BG AL X 50 G; GP8
510802001164112; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 50 G; GP8
510802101118414; COLCHIN; COLCHIN; NOT FOUND; 0.5 MG COM CT 2 ENV KRAFT X 10; GP8
510801306166412; CANDIFEN; CANDIFEN; NOT FOUND; 100MG/G CR 50G; GP8
510801302111419; CANDIFEN; CANDIFEN; NOT FOUND; 250 MG COM CT 2 BL AL PLAS INC X 10; GP8
510801303116414; CANDIFEN; CANDIFEN; NOT FOUND; 250 MG COM CT 20 BL AL PLAS INC X 10; GP8
510801301131416; CANDIFEN; CANDIFEN; NOT FOUND; 200MG/5ML SUS CX C/ 1FR X 100ML; GP8
510801307170413; CANDIFEN; CANDIFEN; NOT FOUND; 40 MG/ML SUS OR CX 50 FR VD AMB X 100 ML; GP8
510801304112412; CANDIFEN; CANDIFEN; NOT FOUND; 400 MG COM CT 2 BL AL PLAS INC X 10; GP8
510801305119410; CANDIFEN; CANDIFEN; NOT FOUND; 400 MG COM CT 20 BL AL PLAS INC X 10; GP8
