504401922159411, ERITROMAX, ERITROMAX, NOT FOUND, 1000 UI PO LIOF  INJ CX  FA VD INC + DIL X  1 ML, BU_
504401925158414, ERITROMAX, ERITROMAX, NOT FOUND, 1000 UI PO LIOF  INJ CX 12 FA VD INC + DIL X  1 ML, BU_
504401909152415, ERITROMAX, ERITROMAX, NOT FOUND, 1000 UI/ML SOL INJ CX FA VD INC X 1 ML, BU_
504401910150412, ERITROMAX, ERITROMAX, NOT FOUND, 1000 UI/ML SOL INJ CX 12 FA VD INC X 1 ML, BU_
504401929153311, ERITROMAX, ERITROMAX, NOT FOUND, 1000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML, BU_
504401930151414, ERITROMAX, ERITROMAX, NOT FOUND, 1000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML, BU_
504402002150419, ERITROMAX, ERITROMAX, NOT FOUND, 1000 UI/ML SOL INJ CX FA VD INC X 2 ML, BU_
504401901151411, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT SER PRE-ENCH X 0.3 ML, BU_
504401902158418, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT 12 SER PRE-ENCH X 0.3 ML, BU_
504401945159416, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT 1 SER PREENCH X 0.3 ML + SISTEMA SEGURANCA, BU_
504401948158410, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT 12 SER PREENCH X 0.3 ML + SISTEMA SEGURANCA, BU_
504401903154416, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT SER PRE-ENCH X 0.4 ML, BU_
504401905157412, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT 12 SER PRE-ENCH X 0.4 ML, BU_
504401946155414, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT 1 SER PREENCH X 0.4 ML + SISTEMA SEGURANCA, BU_
504401949154419, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT 12 SER PREENCH X 0.4 ML + SISTEMA SEGURANCA, BU_
504401917155411, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT SER PRE-ENCH X 1 ML, BU_
504401918151418, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT 12 SER PRE-ENCH X 1 ML, BU_
504401919158416, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CX FA VD INC X 1 ML, BU_
504401920156413, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CX 12 FA VD INC X 1 ML, BU_
504401931158412, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML, BU_
504401932154410, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML, BU_
504401947151412, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT 1 SER PREENCH X 1 ML + SISTEMA SEGURANCA, BU_
504401950152416, ERITROMAX, ERITROMAX, NOT FOUND, 10000 UI/ML SOL INJ CT 12 SER PREENCH X 1 ML + SISTEMA SEGURANCA, BU_
504401923155418, ERITROMAX, ERITROMAX, NOT FOUND, 2000 UI PO LIOF INJ CX FA VD INC + DIL X 1 ML, BU_
504401924151416, ERITROMAX, ERITROMAX, NOT FOUND, 2000 UI PO LIOF INJ CX 12 FA VD INC + DIL X 1 ML, BU_
504401907151411, ERITROMAX, ERITROMAX, NOT FOUND, 2000 UI/ML SOL INJ CT SER PRE-ENCH X 0.5 ML, BU_
504401908156417, ERITROMAX, ERITROMAX, NOT FOUND, 2000 UI/ML SOL INJ CT 12 SER PRE-ENCH X 0.5 ML, BU_
504401951159414, ERITROMAX, ERITROMAX, NOT FOUND, 2000 UI/ML SOL INJ CT 1 SER PREENCH X 0.5 ML + SISTEMA SEGURANCA, BU_
504401952155412, ERITROMAX, ERITROMAX, NOT FOUND, 2000 UI/ML SOL INJ CT 12 SER PREENCH X 0.5 ML + SISTEMA SEGURANCA, BU_
504401913151411, ERITROMAX, ERITROMAX, NOT FOUND, 2000 UI/ML SOL INJ CX FA VD INC X 1 ML, BU_
504401914156415, ERITROMAX, ERITROMAX, NOT FOUND, 2000 UI/ML SOL INJ CX 12 FA VD INC X 1 ML, BU_
504401933150419, ERITROMAX, ERITROMAX, NOT FOUND, 2000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML, BU_
504401934157417, ERITROMAX, ERITROMAX, NOT FOUND, 2000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML, BU_
504402003157417, ERITROMAX, ERITROMAX, NOT FOUND, 2000 UI/ML SOL INJ CX FA VD INC X 2 ML, BU_
504401921152411, ERITROMAX, ERITROMAX, NOT FOUND, 3000 UI PO LIOF INJ CX FA VD INC + DIL X 1 ML, BU_
