504414010044218; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC; BU_
504414010044318; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML   ; BU_
504414010044418; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL  PLAS X 10 ML; BU_
504414010044518; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 50 FA VD INC; BU_
504414010044618; FAZOLON; FAZOLON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; BU_
504402101116413; FANCLOMAX; FANCLOMAX; NOT FOUND; 125 MG COM CT BL AL PLAS INC X 10; BU_
504402103119411; FANCLOMAX; FANCLOMAX; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 21; BU_
504402102112411; FANCLOMAX; FANCLOMAX; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 7; BU_
504412501151418; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 01 AMP VD INC X 1 ML ; BU_
504412502156413; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 01 FA VD INC X 1 ML ; BU_
504412503152411; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 01 SER PREENCH X 1 ML; BU_
504412504159411; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 03 AMP VD INC X 1 ML ; BU_
504412505155418; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 03 FA VD INC X 1 ML ; BU_
504412506151416; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 03 SER PREENCH X 1 ML; BU_
504412507158414; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 05 AMP VD INC X 1 ML ; BU_
504412508154412; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 05 FA VD INC X 1 ML; BU_
504412509150410; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 05 SER PREENCH X 1 ML; BU_
504412510159418; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML ; BU_
504412511155416; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 10 FA VD INC X 1 ML; BU_
504412512151414; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 10 SER PREENCH X 1 ML ; BU_
504412513158412; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 12 AMP VD INC X 1 ML ; BU_
504412514154410; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 12 FA VD INC X 1 ML ; BU_
504412515150419; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 12 SER PREENCH X 1 ML ; BU_
504412521150417; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 1 SER PREENCH VD INC X 1 ML + SISTEMA DE SEGURANCA; BU_
504412522157415; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 10 SER PREENCH VD INC X 1 ML + SISTEMA DE SEGURANCA; BU_
504412523153413; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 12 SER PREENCH VD INC X 1 ML + SISTEMA DE SEGURANCA; BU_
504412524151414; FILGRASTINE; FILGRASTINE; NOT FOUND; 300 MCG/ML SOL INJ CT 5 SER PREENCH VD INC X 1 ML + SISTEMA DE SEGURANCA; BU_
504412516157417; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 01 SER PREENCH X 0.5 ML  ; BU_
504412517153415; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 03 SER PREENCH X 0.5 ML  ; BU_
504412518151416; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 05 SER PREENCH X 0.5 ML  ; BU_
504412519156411; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 10 SER PREENCH X 0.5 ML  ; BU_
504412520154419; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 12 SER PREENCH X 0.5 ML  ; BU_
504412525156411; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 05 SER PREENCHIDA VD INC X 0.5 ML + SISTEMA DE SEGURANCA; BU_
504412526152418; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 01 SER PREENCH VD INC X 0.5 ML + SISTEMA DE SEGURANCA; BU_
504412527159416; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 10 SER PREENCHIDA VD INC X 0.5 ML + SISTEMA DE SEGURANCA; BU_
504412528155414; FILGRASTINE; FILGRASTINE; NOT FOUND; 600 MCG/ML SOL INJ CT 12 SER PREENCHIDA VD INC X 0.5 ML + SISTEMA DE SEGURANCA; BU_
504414010042818; FUNGICIDEN; FUNGICIDEN; NOT FOUND; 2 MG/ML SOL INJ INFUS IV CT FR PLAS TRANS SIST FECH X 100 ML ; BU_
504414100051406; FLUTAMIDA; FLUTAMIDA; FLUTAMIDA; 250 MG COM CT BL AL PLAS TRANS X 20 ; BU_
504414100051506; FLUTAMIDA; FLUTAMIDA; FLUTAMIDA; 250 MG COM CT BL AL PLAS TRANS X 60; BU_
504414100051606; FLUTAMIDA; FLUTAMIDA; FLUTAMIDA; 250 MG COM CT BL AL PLAS TRANS X 90; BU_
504414010048718; FUROSETRON; FUROSETRON; NOT FOUND; 10 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML ; BU_
