504414010042218, VANCOSON, VANCOSON, NOT FOUND, 500 MG PO SOL INJ IV CX 100 FA VD INC TIPO 1 (EMB HOSP), BU_
504414010049618, VANCOSON, VANCOSON, NOT FOUND, 500 MG PO SOL INJ IV CX 20 FA VD INC (EMB HOSP), BU_
504414010049718, VANCOSON, VANCOSON, NOT FOUND, 500 MG PO SOL INJ IV CX 20 FA VD INC + 20 AMP  DIL X 10 ML (EMB HOSP), BU_
504414010049818, VANCOSON, VANCOSON, NOT FOUND, 500 MG PO SOL INJ IV CX 20 FA VD INC +  20 DIL AMP PLAS X 10 ML (EMB HOSP), BU_
504414010049918, VANCOSON, VANCOSON, NOT FOUND, 500 MG PO SOL INJ IV CX 100 FA VD INC (EMB HOSP), BU_
504414010050018, VANCOSON, VANCOSON, NOT FOUND, 500 MG PO SOL INJ IV CT FA VD INC TIPO 1 + AMP DIL X 10 ML , BU_
504414010050118, VANCOSON, VANCOSON, NOT FOUND, 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO 1 + 20 AMP DIL X 10 ML (EMB HOSP), BU_
504414010050218, VANCOSON, VANCOSON, NOT FOUND, 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO 1 + 20 AMP DIL PLAS X 10 ML (EMB HOSP), BU_
504414010050318, VANCOSON, VANCOSON, NOT FOUND, 500 MG PO SOL INJ IV CX 20 FA VD INC TIPO 1 (EMB HOSP), BU_
504414010045318, VASOTON, VASOTON, NOT FOUND, 2.5 MG/ML SOL INJ CX 5 AMP VD INC X 2 ML, BU_
504414010046118, VIKATRON, VIKATRON, NOT FOUND, 10 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML, BU_
504403902112414, VUDIRAX, VUDIRAX, NOT FOUND, 150 MG COM REV CT FR PLAS OPC X 60 , BU_
504413001134415, VACINA ORAL CONTRA POLIOMIELITE, VACINA ORAL CONTRA POLIOMIELITE, NOT FOUND, SUS OR CT FR PLAS TRANS GOT X 0.1 ML, BU_
504413006136416, VACINA ORAL CONTRA POLIOMIELITE, VACINA ORAL CONTRA POLIOMIELITE, NOT FOUND, SUS OR CT 10 FR PLAS TRANS GOT X 0.1 ML, BU_
504413002130413, VACINA ORAL CONTRA POLIOMIELITE, VACINA ORAL CONTRA POLIOMIELITE, NOT FOUND, SUS OR CT FR PLAS TRANS GOT X 1 ML, BU_
504413005131410, VACINA ORAL CONTRA POLIOMIELITE, VACINA ORAL CONTRA POLIOMIELITE, NOT FOUND, SUS OR CT 10 FR PLAS TRANS GOT X 1 ML, BU_
504413003137411, VACINA ORAL CONTRA POLIOMIELITE, VACINA ORAL CONTRA POLIOMIELITE, NOT FOUND, SUS OR CT FR PLAS TRANS GOT X 2 ML, BU_
504413004133411, VACINA ORAL CONTRA POLIOMIELITE, VACINA ORAL CONTRA POLIOMIELITE, NOT FOUND, SUS OR CT 10 FR PLAS TRANS GOT X 2 ML, BU_
504414010050418, VITARISTON C, VITARISTON C, NOT FOUND, 100 MG/ML SOL INJ CX 50 AMP VD AMB X 5ML (EMB HOSP), BU_
504414010050518, VITARISTON C, VITARISTON C, NOT FOUND, 200 MG/ML SOL INJ CX 50 AMP VD AMB X 5ML (EMB HOSP), BU_
