522203501163412, TERRA-CORTRIL, TERRA CORTRIL, NOT FOUND, POM TP 15G, PFZ
522203601151416, TERRAMICINA, TERRAMICINA, NOT FOUND, 100MG INJ 5 AMP, PFZ
522203604116311, TERRAMICINA, TERRAMICINA, NOT FOUND, 500 MG CAP GEL DURA CT STR AL/AL X 8 , PFZ
522203602113410, TERRAMICINA, TERRAMICINA, NOT FOUND, 500MG X 100 CAPS, PFZ
522203603136414, TERRAMICINA, TERRAMICINA, NOT FOUND, XPE 120 ML, PFZ
522203701162411, TERRAMICINA C/POLIMIXINA, TERRAMICINA C POLIMIXINA, NOT FOUND, POM OFT 3.5 G, PFZ
522203702169418, TERRAMICINA C/POLIMIXINA, TERRAMICINA C POLIMIXINA, NOT FOUND, POM TP 15 G, PFZ
522203801167316, TRALEN, TRALEN, NOT FOUND, CREME 30 G, PFZ
522203802171317, TRALEN, TRALEN, NOT FOUND, LOC 30 G, PFZ
522203803178315, TRALEN, TRALEN, NOT FOUND, PO 30 G, PFZ
522203804174313, TRALEN, TRALEN, NOT FOUND, SOL PARA UNHA 28% FR 12 ML, PFZ
522239406111411, TRAMAL, TRAMAL, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 10, PFZ
522239403153413, TRAMAL, TRAMAL, NOT FOUND, 100 MG INJ. - 6 AMP, PFZ
522239402130411, TRAMAL, TRAMAL, NOT FOUND, 100 MG/ML SOL OR CT FR VD AMB GOT X 10 ML, PFZ
522239404117410, TRAMAL, TRAMAL, NOT FOUND, 50 MG CAP GEL DURA CT 1 BL AL PLAS OPC X 10, PFZ
522239405156411, TRAMAL, TRAMAL, NOT FOUND, 50 MG INJ. - 6 AMP., PFZ
522239407159319, TRAMAL, TRAMAL, NOT FOUND, 50 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML , PFZ
522239408155317, TRAMAL, TRAMAL, NOT FOUND, 50 MG/ML SOL INJ CT 5 AMP VD INC X 2 ML, PFZ
522239701162410, TROFODERMIN, TROFODERMIN, NOT FOUND, 5 MG/G + 5 MG/G CREM DERM CT BG AL X 30 G, PFZ
522239702169419, TROFODERMIN, TROFODERMIN, NOT FOUND, 5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC, PFZ
522203501163412, TERRA-CORTRIL, TERRA CORTRIL, NOT FOUND, POM TP 15G, PFZ
