522239201119419, SERMION, SERMION, NOT FOUND, 10 MG DRG CT BL AL PLAS INC X 20, PFZ
522239202115417, SERMION, SERMION, NOT FOUND, 30 MG COM REV CT BL AL PLAS INC X 20, PFZ
522240501155414, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 1 G PO LIOF INJ CT FA VD INC + FA DIL VD INC X 16 ML, PFZ
522240502151412, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 125 MG PO LIOF INJ CT FA VD INC + AMP DIL VD INC X 2 ML, PFZ
522240503158410, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 40 MG PO LIOF INJ CT FA VD INC + AMP DIL VD INC X 1 ML, PFZ
522240504154419, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 500 MG PO LIOF INJ CT FA VD INC + FA DIL VD INC X 8 ML, PFZ
522242002172311, SOMAVERT, SOMAVERT, NOT FOUND, 10 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL, PFZ
522242004175316, SOMAVERT, SOMAVERT, NOT FOUND, 15 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL, PFZ
522242006178312, SOMAVERT, SOMAVERT, NOT FOUND, 20 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL, PFZ
522203401142413, SUPOSITÓRIOS GLICERINA, SUPOSITORIOS GLICERINA, NOT FOUND, ADU 24 UNIDADES, PFZ
522203402149411, SUPOSITÓRIOS GLICERINA, SUPOSITORIOS GLICERINA, NOT FOUND, INF 24 UNIDADES, PFZ
522241601110216, SUTENT, SUTENT, NOT FOUND, 12.5 MG CAP GEL DURA CT FR PLAS OPC X 28 , PFZ
522241603113212, SUTENT, SUTENT, NOT FOUND, 25 MG CAP GEL DURA CT FR PLAS OPC X 28 , PFZ
522241605116219, SUTENT, SUTENT, NOT FOUND, 50 MG CAP GEL DURA CT FR PLAS OPC X 28 , PFZ
522239301172419, SYNAREL, SYNAREL, NOT FOUND, 2 MG/ML SOL NAS CT FR VD + PLAS OPC X 8 ML +VALV, PFZ
522239201119419, SERMION, SERMION, NOT FOUND, 10 MG DRG CT BL AL PLAS INC X 20, PFZ
522239202115417, SERMION, SERMION, NOT FOUND, 30 MG COM REV CT BL AL PLAS INC X 20, PFZ
522240501155414, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 1 G PO LIOF INJ CT FA VD INC + FA DIL VD INC X 16 ML, PFZ
522240502151412, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 125 MG PO LIOF INJ CT FA VD INC + AMP DIL VD INC X 2 ML, PFZ
522240503158410, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 40 MG PO LIOF INJ CT FA VD INC + AMP DIL VD INC X 1 ML, PFZ
522240504154419, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 500 MG PO LIOF INJ CT FA VD INC + FA DIL VD INC X 8 ML, PFZ
522242002172311, SOMAVERT, SOMAVERT, NOT FOUND, 10 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL, PFZ
522242004175316, SOMAVERT, SOMAVERT, NOT FOUND, 15 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL, PFZ
522242006178312, SOMAVERT, SOMAVERT, NOT FOUND, 20 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL, PFZ
522241601110216, SUTENT, SUTENT, NOT FOUND, 12.5 MG CAP GEL DURA CT FR PLAS OPC X 28 , PFZ
522241603113212, SUTENT, SUTENT, NOT FOUND, 25 MG CAP GEL DURA CT FR PLAS OPC X 28 , PFZ
522241605116219, SUTENT, SUTENT, NOT FOUND, 50 MG CAP GEL DURA CT FR PLAS OPC X 28 , PFZ
522239301172419, SYNAREL, SYNAREL, NOT FOUND, 2 MG/ML SOL NAS CT FR VD + PLAS OPC X 8 ML +VALV, PFZ
522239201119419, SERMION, SERMION, NOT FOUND, 10 MG DRG CT BL AL PLAS INC X 20, PFZ
522239202115417, SERMION, SERMION, NOT FOUND, 30 MG COM REV CT BL AL PLAS INC X 20, PFZ
522240501155414, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 1 G PO LIOF INJ CT FA VD INC + FA DIL VD INC X 16 ML, PFZ
522240502151412, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 125 MG PO LIOF INJ CT FA VD INC + AMP DIL VD INC X 2 ML, PFZ
522240503158410, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 40 MG PO LIOF INJ CT FA VD INC + AMP DIL VD INC X 1 ML, PFZ
522240504154419, SOLU MEDROL, SOLU MEDROL, NOT FOUND, 500 MG PO LIOF INJ CT FA VD INC + FA DIL VD INC X 8 ML, PFZ
522242002172311, SOMAVERT, SOMAVERT, NOT FOUND, 10 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL, PFZ
522242004175316, SOMAVERT, SOMAVERT, NOT FOUND, 15 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL, PFZ
522242006178312, SOMAVERT, SOMAVERT, NOT FOUND, 20 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL, PFZ
