30436, FAGOLIPO , FAGOLIPO, NOT FOUND, CPR 2 MG x 20, LIB
60469, FAULBLASTINA , FAULBLASTINA, NOT FOUND, F.IV 10 MG 10 ML x 5, LIB
60472, FAULDACAR , FAULDACAR, NOT FOUND, F.AMP LIOF 200 MG x 1, LIB
60470, FAULDACAR , FAULDACAR, NOT FOUND, F.AMP LIOF 600 MG x 1, LIB
60474, FAULDCARBO , FAULDCARBO, NOT FOUND, F.INFUSAO 150 MG 15 ML x 1, LIB
60475, FAULDCARBO , FAULDCARBO, NOT FOUND, F.INFUSAO 450 MG 45 ML x 1, LIB
60473, FAULDCARBO , FAULDCARBO, NOT FOUND, F.INFUSAO 50 MG 5 ML x 1, LIB
60477, FAULDCISPLA , FAULDCISPLA, NOT FOUND, F.IV 10 MG 10 ML x 1, LIB
60478, FAULDCISPLA , FAULDCISPLA, NOT FOUND, F.IV 100 MG 100 ML x 1, LIB
60476, FAULDCISPLA , FAULDCISPLA, NOT FOUND, F.IV 50 MG 50 ML x 1, LIB
71318, FAULDCITA , FAULDCITA, NOT FOUND, F.AMP 1 G 10 ML x 1, LIB
60479, FAULDCITA , FAULDCITA, NOT FOUND, F.AMP 500 MG 5 ML x 5, LIB
73438, FAULDFLUOR , FAULDFLUOR, NOT FOUND, F.IV 2.50 G 5 ML x 5, LIB
60481, FAULDFLUOR , FAULDFLUOR, NOT FOUND, F.IV 2.50 G 50 ML x 1, LIB
60482, FAULDFLUOR , FAULDFLUOR, NOT FOUND, F.IV 500 MG 10 ML x 5, LIB
66309, FAULDLEUCO , FAULDLEUCO, NOT FOUND, F.AMP 300 MG 30 ML x 1, LIB
60483, FAULDLEUCO , FAULDLEUCO, NOT FOUND, F.AMP 50 MG 5 ML x 1, LIB
60487, FAULDMETRO , FAULDMETRO, NOT FOUND, F.AMP 1 G 10 ML x 1, LIB
60484, FAULDMETRO , FAULDMETRO, NOT FOUND, F.AMP 5 G 50 ML x 1, LIB
60485, FAULDMETRO , FAULDMETRO, NOT FOUND, F.AMP 50 MG 2 ML x 5, LIB
60486, FAULDMETRO , FAULDMETRO, NOT FOUND, F.AMP 500 MG 20 ML x 1, LIB
60500, FAULDOXO , FAULDOXO, NOT FOUND, F.IV 10 MG x 1 (/5ML), LIB
60501, FAULDOXO , FAULDOXO, NOT FOUND, F.IV 50 MG 25 ML x 1, LIB
60504, FAULDPAMI , FAULDPAMI, NOT FOUND, A.IV 90 MG 10 ML x 1, LIB
60506, FAULDVINCRI , FAULDVINCRI, NOT FOUND, A.IV 1 MG 1 ML x 5, LIB
78504, FILTRUM COLOR 50 , FILTRUM COLOR 50, NOT FOUND, LOC. FPS50 60 ML x 1, LIB
78505, FILTRUM HIDRAT 30 , FILTRUM HIDRAT 30, NOT FOUND, GEL CR FPS30 60 G x 1, LIB
68785, FILTRUM HT , FILTRUM HT, NOT FOUND, GEL FPS20 60 ML x 1, LIB
80193, FILTRUM ULTRA SECO , FILTRUM ULTRA SECO, NOT FOUND, GEL CR F30 60 G x 1, LIB
83461, FILTRUM VIT 50 , FILTRUM VIT 50, NOT FOUND, CR GEL F50 120 G x 1, LIB
53363, FINALOP , FINALOP, NOT FOUND, CPR REVEST 1 MG x 20, LIB
57352, FINALOP , FINALOP, NOT FOUND, CPR REVEST 1 MG x 30, LIB
48341, FLUCONAL , FLUCONAL, NOT FOUND, CAPS 150 MG x 1, LIB
56155, FLUCONAL , FLUCONAL, NOT FOUND, CAPS 150 MG x 2, LIB
55453, FLUCONAL , FLUCONAL, NOT FOUND, CAPS 150 MG x 4, LIB
75787, FLUDALIBBS , FLUDALIBBS, NOT FOUND, F.AMP 50 MG x 5, LIB
73721, FORMARE , FORMARE, NOT FOUND, CAPS+INALAD. 12 Y x 30, LIB
73722, FORMARE , FORMARE, NOT FOUND, CAPS+INALAD. 12 Y x 60, LIB
