60276; LIBIAM ; LIBIAM; NOT FOUND; CPR 1.25 MG x 28; LIB
56858; LIBIAM ; LIBIAM; NOT FOUND; CPR 2.50 MG x 28; LIB
45363; LISAPRES ; LISAPRES; NOT FOUND; CPR 4 MG x 30; LIB
32720; LOGAT ; LOGAT; NOT FOUND; CPR 150 MG x 20; LIB
58421; LORANIL ; LORANIL; NOT FOUND; CPR 10 MG x 20; LIB
50988; LORANIL ; LORANIL; NOT FOUND; CPR 10 MG x 6; LIB
58279; LORANIL ; LORANIL; NOT FOUND; XAROPE 1 MG 100 ML x 1 (/ML); LIB
58280; LORANIL D ; LORANIL D; NOT FOUND; CPR 24H x 6; LIB
55750; LORANIL D ; LORANIL D; NOT FOUND; CPR x 6; LIB
56737; LORANIL D ; LORANIL D; NOT FOUND; XAROPE 60 ML x 1; LIB
143280; LUMIXYL ; LUMIXYL; NOT FOUND; LOC CREMOSA 30 ML x 1; LIB
