1034600080013; SOL INJ DE RINGER; SOL INJ RINGER; NOT FOUND; VOLUME DE 1000ML; BK6
1034600080005; SOL INJ DE RINGER; SOL INJ RINGER; NOT FOUND; VOLUME DE 500ML; BK6
1034600100006; SOL INJ DE RINGER C/ LACTATO DE SÓDIO; SOL INJ RINGER C LACTATO SODIO; NOT FOUND; VOLUME DE 1000ML; BK6
1034600100014; SOL INJ DE RINGER C/ LACTATO DE SÓDIO; SOL INJ RINGER C LACTATO SODIO; NOT FOUND; VOLUME DE 500ML; BK6
1034600150011; SOLUÇÃO DE RINGER COM LACTATO DE SÓDIO; SOLUCAO RINGER LACTATO SODIO; NOT FOUND; SOL INJ IV CX 24 BOLS PLAS X 500 ML SIST FECH; BK6
1034600140032; SOLUÇÃO PARA DIÁLISE PERITONIAL COM GLICOSE; SOLUCAO PARA DIALISE PERITONIAL GLICOSE; NOT FOUND; 15MG/ML SOL DIA PER CX 14 BOLS PVC SIST FECH X 1000ML; BK6
1034600060012; SOL. INJ. DE CLORETO DE POTÁSSIO; SOL INJ CLORETO POTASSIO; NOT FOUND; 10% VOLUME DE 10ML 100 FR; BK6
1034600060039; SOL. INJ. DE CLORETO DE POTÁSSIO; SOL INJ CLORETO POTASSIO; NOT FOUND; 19.1% VOLUME DE 10ML 100 FR; BK6
1034600030040; SOL INJ DE CLORETO DE SÓDIO; SOL INJ CLORETO SODIO; NOT FOUND; VOLUME DE 1000ML; BK6
1034600030075; SOL INJ DE CLORETO DE SÓDIO; SOL INJ CLORETO SODIO; NOT FOUND; VOLUME DE 10ML; BK6
1034600030016; SOL INJ DE CLORETO DE SÓDIO; SOL INJ CLORETO SODIO; NOT FOUND; VOLUME DE 125ML; BK6
1034600030024; SOL INJ DE CLORETO DE SÓDIO; SOL INJ CLORETO SODIO; NOT FOUND; VOLUME DE 250ML; BK6
1034600030032; SOL INJ DE CLORETO DE SÓDIO; SOL INJ CLORETO SODIO; NOT FOUND; VOLUME DE 500ML; BK6
1034600030083; SOL INJ DE CLORETO DE SÓDIO; SOL INJ CLORETO SODIO; NOT FOUND; 0.9% VOLUME DE 20ML 50 FR; BK6
1034600030105; SOL INJ DE CLORETO DE SÓDIO; SOL INJ CLORETO SODIO; NOT FOUND; 10% VOLUME 20ML 50 FR; BK6
1034600030091; SOL INJ DE CLORETO DE SÓDIO; SOL INJ CLORETO SODIO; NOT FOUND; 10% VOLUME DE 10ML 100 AMP; BK6
1034600030121; SOL INJ DE CLORETO DE SÓDIO; SOL INJ CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ CX 100 FR PLAS TRANS X 10 ML; BK6
1034600130045; SOLUÇÃO GLICOFISIOLÓGICA BEKER; SOLUCAO GLICOFISIOLOGICA BEKER; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX 50 BOLS PVC SIST FECH X 250 ML; BK6
1034600130061; SOLUÇÃO GLICOFISIOLÓGICA BEKER; SOLUCAO GLICOFISIOLOGICA BEKER; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX 14 BOLS PVC SIST FECH X 1000 ML; BK6
1034600130053; SOLUÇÃO GLICOFISIOLÓGICA BEKER; SOLUCAO GLICOFISIOLOGICA BEKER; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX 24 BOLS PVC SIST FECH X 500 ML; BK6
1034600010036; SOL INJ GLICOFISIOLÓGICA; SOL INJ GLICOFISIOLOGICA; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX FR X 1000 ML; BK6
1034600010015; SOL INJ GLICOFISIOLÓGICA; SOL INJ GLICOFISIOLOGICA; NOT FOUND; VOLUME DE 250ML; BK6
1034600010028; SOL INJ GLICOFISIOLÓGICA; SOL INJ GLICOFISIOLOGICA; NOT FOUND; VOLUME DE 500ML; BK6
1034600010023; SOL INJ DE MANITOL; SOL INJ MANITOL; NOT FOUND; VOLUME DE 250ML; BK6
