522823706111417, LABOPRIL, LABOPRIL, NOT FOUND, 12.5MG COMP CX 3 BL X 10, L3B
522823705113416, LABOPRIL, LABOPRIL, NOT FOUND, 12.5MG COMP CX 50 BL X 10, L3B
522823704117418, LABOPRIL, LABOPRIL, NOT FOUND, 25MG COMP CX 3 BL X 10, L3B
522823703110411, LABOPRIL, LABOPRIL, NOT FOUND, 25MG COMP CX 50 BL X 10, L3B
522823702114411, LABOPRIL, LABOPRIL, NOT FOUND, 50MG COMP CX 3 BL X 10, L3B
522823701118413, LABOPRIL, LABOPRIL, NOT FOUND, 50MG COMP CX 50 BL X 10, L3B
522823501119416, LENITRAL, LENITRAL, NOT FOUND, 10MG COMP CX 1 BL X 10, L3B
522823504118410, LENITRAL, LENITRAL, NOT FOUND, 10MG COMP CX 3 BL X 10, L3B
522823505114419, LENITRAL, LENITRAL, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 10, L3B
522823503111412, LENITRAL, LENITRAL, NOT FOUND, 20MG COMP CX 3 BL X 10, L3B
522823502115414, LENITRAL, LENITRAL, NOT FOUND, 40MG COMP CX 3 BL X 10, L3B
522823602111410, LOSORPAK IBP, LOSORPAK IBP, NOT FOUND, 30MG CAPS+500MG COMP REV+500MG CAPS CX 10 CART (2+2+4), L3B
522823601113411, LOSORPAK IBP, LOSORPAK IBP, NOT FOUND, 30MG CAPS+500MG COMP REV+500MG CAPS CX 10 CART (2+2+4) + 30MG CAPS 1 CART X 14, L3B
522823603116416, LOSORPAK IBP, LOSORPAK IBP, NOT FOUND, 30MG CAPS+500MG COMP REV+500MG CAPS CX 7 CART (2+2+4), L3B
522823706111417, LABOPRIL, LABOPRIL, NOT FOUND, 12.5MG COMP CX 3 BL X 10, L3B
522823705113416, LABOPRIL, LABOPRIL, NOT FOUND, 12.5MG COMP CX 50 BL X 10, L3B
522823704117418, LABOPRIL, LABOPRIL, NOT FOUND, 25MG COMP CX 3 BL X 10, L3B
522823703110411, LABOPRIL, LABOPRIL, NOT FOUND, 25MG COMP CX 50 BL X 10, L3B
