505502501114411; CAZIGERAN; CAZIGERAN; NOT FOUND; DRG CT FR VD AMB X 20; CAZ
505502502110418; CAZIGERAN; CAZIGERAN; NOT FOUND; DRG CT FR VD AMB X 60 DRG; CAZ
505503101111411; CLOVIR; CLOVIR; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 25; CAZ
505503102167410; CLOVIR; CLOVIR; NOT FOUND; 50 MG/G CREM CT BG AL X 10 G; CAZ
505502602115411; CEFABEN; CEFABEN; NOT FOUND; 500 MG COM REV CT 2 ENV AL X 4; CAZ
505502701164410; CETOZOL; CETOZOL; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 20 G; CAZ
505502702179411; CETOZOL; CETOZOL; NOT FOUND; 20 MG/ML SHAMP CT FR PLAS OPC X 100 ML; CAZ
505503001115415; CIRLEG; CIRLEG; NOT FOUND; 10 COMP CX C/06; CAZ
505502401160411; CAZIDERM; CAZIDERM; NOT FOUND; 2 MG/G POM DERM CT BG AL X 20 G; CAZ
505502402175410; CAZIDERM; CAZIDERM; NOT FOUND; 2 MG/ML SOL TOP FR C/100 ML; CAZ
505502403171419; CAZIDERM; CAZIDERM; NOT FOUND; 2 MG/ML SOL TOP FR C/30 ML; CAZ
505502404178417; CAZIDERM; CAZIDERM; NOT FOUND; 2 MG/ML SOL TOP FR C/500 ML; CAZ
505502301174419; CASPACIL; CASPACIL; NOT FOUND; 25 MG/ML XAMP FR PLAS OPC X 100 ML; CAZ
