505501003137411; ASMAFIN; ASMAFIN; NOT FOUND; 240MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; CAZ
505515107118411; AMOXACIN; AMOXACIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; CAZ
505515106111413; AMOXACIN; AMOXACIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; CAZ
505501201117415; ATECARD; ATECARD; NOT FOUND; 100 MG COMP CT ENV AL POLIET X 30; CAZ
505501202113413; ATECARD; ATECARD; NOT FOUND; 50 MG COMP CT ENV AL POLIET X 30; CAZ
505500801110413; ANFLAT; ANFLAT; NOT FOUND; 40 MG COM CX 2 ENV KRAFT POLIET X 10; CAZ
505500802133417; ANFLAT; ANFLAT; NOT FOUND; 75 MG/ML SOL OR GOTAS CT FR PLAS OPC X 10 ML ; CAZ
505501101139417; ASMANON; ASMANON; NOT FOUND; 0.2 MG/ML XPE CT FR VD AMB X 150 ML; CAZ
505501102119411; ASMANON; ASMANON; NOT FOUND; 1 MG COM CT ENV KRAFT POLIET X 20; CAZ
505500601111416; ALIVIAN; ALIVIAN; NOT FOUND; 7.5 MG COM CT FR VD AMB X 10; CAZ
505500401139414; ALBISTIN; ALBISTIN; NOT FOUND; 100.000 UI/ML SUS OR CT FR VD AMB X 40 ML; CAZ
505500402161413; ALBISTIN; ALBISTIN; NOT FOUND; 25.000 UI/G CREM VAG CT BG AL X 60 G; CAZ
505500403115415; ALBISTIN; ALBISTIN; NOT FOUND; 500.000 UI DRG CT  ENV AL X 16; CAZ
505515301161416; ALIVBABY; ALIVBABY; NOT FOUND; 100.000U/G + 200MG/G BG 60 G; CAZ
505515302166411; ALIVBABY; ALIVBABY; NOT FOUND; 100.000U/G + 200MG/G BG 20 G; CAZ
505500301134410; AEROTRAT; AEROTRAT; NOT FOUND; 0.4MG/ML XPE CT FR VD AMB X 100 ML; CAZ
505500302114413; AEROTRAT; AEROTRAT; NOT FOUND; 2.0 MG COMP CT ENV AL X 20; CAZ
505500103111414; ACETICIL; ACETICIL; NOT FOUND; 100 MG COM MAST CT FILM POLIET X 20; CAZ
505500101119426; ACETICIL; ACETICIL; NOT FOUND; 100MG COMP MAST CT FILM POLIET X 200; CAZ
505500104118412; ACETICIL; ACETICIL; NOT FOUND; 500 MG COM SIMP CT FILM POLIET X 20; CAZ
505500102115424; ACETICIL; ACETICIL; NOT FOUND; 500MG COMP SIMP CT FILM POLIET X 500; CAZ
505512060019603; ACFOL; ACFOL; NOT FOUND; 5 MG COM CT ENV PAP PLAS X 30; CAZ
505500201113411; ACFOL; ACFOL; NOT FOUND; 5 MG COM CT ENV KRAFT PE X 40; CAZ
505512060019703; ACFOL; ACFOL; NOT FOUND; 5 MG COM CT ENV PAP PLAS X 500 (EMB HOSP); CAZ
505500202136415; ACFOL; ACFOL; NOT FOUND; 5 MG/ML SOL OR CT FR VD CGT X 10 ML; CAZ
