505509801113416; TEGREZIN; TEGREZIN; NOT FOUND; 200 MG COM CT ENV KRAFT PE X 20; CAZ
505509802111417; TEGREZIN; TEGREZIN; NOT FOUND; 200 MG COM CT ENV KRAFT PE X 200 (EMB HOSP); CAZ
505509803116412; TEGREZIN; TEGREZIN; NOT FOUND; 200 MG COM CT ENV KRAFT PE X 500 (EMB HOSP); CAZ
505510501160412; TRICOMAX; TRICOMAX; NOT FOUND; 100 MG/G + 20.000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC DESCART; CAZ
505509901134423; TERMOPRIN; TERMOPRIN; NOT FOUND; 0.05 G/ML XPE FR VD AMB X 100 ML; CAZ
505509902114426; TERMOPRIN; TERMOPRIN; NOT FOUND; 500 MG COMP CX 50 ENV KRAFT POLIET X 4; CAZ
505509903137421; TERMOPRIN; TERMOPRIN; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; CAZ
505510101162418; THIANAX; THIANAX; NOT FOUND; 50 MG/G POM DERM CT BG PLAS OPC X 45 G; CAZ
505510201167411; TIONAZEN; TIONAZEN; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 30 G; CAZ
505510202139411; TIONAZEN; TIONAZEN; NOT FOUND; 10 MG/ML LOC EMUL CT FR PLAS OPC X 30 G; CAZ
505510203178410; TIONAZEN; TIONAZEN; NOT FOUND; 280 MG/ML SOL TOP CT FR PLAS OPC X 12 ML; CAZ
