1044501040010; SYFMOX; SYFMOX; NOT FOUND; 250MG FRASCO C/ PO SUSP. ORAL 150ML; SIN
1044501040029; SYFMOX; SYFMOX; NOT FOUND; 250MG FRASCO C/ PO SUSP. ORAL 60ML; SIN
1044501040053; SYFMOX; SYFMOX; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; SIN
1044501040088; SYFMOX; SYFMOX; NOT FOUND; 500MG CAIXA C/ 21 CAPSULAS; SIN
1044501200018; SIFCILINA; SIFCILINA; NOT FOUND; 250MG VIDRO C/ 60ML PO SUSPENSAO; SIN
1044501200034; SIFCILINA; SIFCILINA; NOT FOUND; 500 MG CAIXA C/ 10 CAPSULAS; SIN
1044500010061; SIFNOLOL; SIFNOLOL; NOT FOUND; 100MG CAIXA C/ 2X14 COMPRIMIDOS; SIN
1044500010045; SIFNOLOL; SIFNOLOL; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 14; SIN
1044501070051; SIFTROMIN; SIFTROMIN; NOT FOUND; 600MG FRASCO C/ PO SUSP. ORAL 15ML; SIN
1044501070068; SIFTROMIN; SIFTROMIN; NOT FOUND; 900MG FRASCO C/ PO SUSP. ORAL 22.5ML; SIN
1044501070041; SIFTROMIN; SIFTROMIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3; SIN
1044501220027; SIFGARGAN; SIFGARGAN; NOT FOUND; SOL TOP LARANJA CT FR PLAS  OPC SPRAY X 25 ML; SIN
1044501220019; SIFGARGAN; SIFGARGAN; NOT FOUND; SOL TOP MENTA CT FR PLAS  OPC SPRAY X 25 ML; SIN
1044500960027; SIFNAZOL; SIFNAZOL; NOT FOUND; CREME BISNAGA C/ 30GRS; SIN
1044500960019; SIFNAZOL; SIFNAZOL; NOT FOUND; CAIXA C/ 30 COMPRIMIDOS; SIN
1044501250015; SELECTOCÁLCIO; SELECTOCALCIO; NOT FOUND; FRASCO C/ 150ML; SIN
1044500900016; SIFYDERM; SIFYDERM; NOT FOUND; CREME BISNAGA C/ 20GRS; SIN
1044500900024; SIFYDERM; SIFYDERM; NOT FOUND; POMADA BISNAGA C/ 20GRS; SIN
1044500760015; SEKITOL; SEKITOL; NOT FOUND; XAROPE VD C/ 100ML; SIN
1044501010014; SIFLOXAN; SIFLOXAN; NOT FOUND; 500 MG CAIXA C/ 06 COMPRIMIDOS; SIN
1044501130011; SIFNACO; SIFNACO; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC  X 10; SIN
1044501110027; SIFDICLOP; SIFDICLOP; NOT FOUND; 50 MG DRG CT/1 BL X 10; SIN
1044501110043; SIFDICLOP; SIFDICLOP; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 20; SIN
1044501110061; SIFDICLOP; SIFDICLOP; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 500; SIN
1044500920025; SIFPIRONA; SIFPIRONA; NOT FOUND; GOTAS FRASCO C/ 10ML; SIN
1044501180025; SIFTREX; SIFTREX; NOT FOUND; 40MG CAIXA C/ 02 COMPRIMIDOS; SIN
1044501180017; SIFTREX; SIFTREX; NOT FOUND; 40MG CAIXA C/ 04 COMPRIMIDOS; SIN
1044501020011; SIFTREX; SIFTREX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; SIN
1044500270017; SIFPOL; SIFPOL; NOT FOUND; XAROPE VD C/ 100ML; SIN
1044501240011; SONIN; SONIN; NOT FOUND; 0.10 MG/ ML XPE CT FR VD AMB X 120 ML; SIN
SI/NC; SIFBEM; SIFBEM; NOT FOUND; SUSPENSAO ORAL VD C/ 30ML; SIN
1044500260017; SIFBEM; SIFBEM; NOT FOUND; CAIXA C/ 06 COMPRIMIDOS; SIN
1044501180025; SIFSEX; SIFSEX; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 2; SIN
1044501180017; SIFSEX; SIFSEX; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 4; SIN
1044500950021; SIFMETRON; SIFMETRON; NOT FOUND; SUSPENSAO ORAL VIDRO C/ 100ML; SIN
1044500950013; SIFMETRON; SIFMETRON; NOT FOUND; 250MG CAIXA C/ 20 COMPRIMIDOS; SIN
SI/NC; SIFNISTINA; SIFNISTINA; NOT FOUND; SUSPENSAO VIDRO 50ML C/ CONTA GOTAS; SIN
1044500940026; SIFNISTINA; SIFNISTINA; NOT FOUND; CREME VAGINAL 60GRS + APLICADOR; SIN
1044500890010; SIFCOM-B; SIFCOM B; NOT FOUND; VIDRO C/ 100ML; SIN
