1071500340026; FORT E; FORT E; NOT FOUND; 100 MG CAP GEL MOLE CT FR PLAS OPC X 100; CAZ
1071500340018; FORT E; FORT E; NOT FOUND; 100 MG CAP GEL MOLE CT FR PLAS OPC X 30; CAZ
1071500360035; FORTPLEX; FORTPLEX; NOT FOUND; DRG FR VD AMB X 60; CAZ
1071500710010; FISIORINUS; FISIORINUS; NOT FOUND; 9 MG + 0.1 MG/ML SOL NAS FR PLAST TRANS GOT X 30 ML; CAZ
1071501340011; FLAZ-CORT; FLAZ CORT; NOT FOUND; 6 MG COM CT ENV AL POLIET X 20; CAZ
1071501220016; FLUZIX; FLUZIX; NOT FOUND; 10 MG COM CT ENV KRAFT POLIET X 30; CAZ
1071501710031; FENITOÍNA; FENITOINA; FENITOINA; 100 MG COM CT BL AL PLAS TRANS X 30; CAZ
1071501710048; FENITOÍNA; FENITOINA; FENITOINA; 100 MG COM CT BL AL PLAS TRANS X 500 (EMB HOSP); CAZ
1071501710013; FENITOÍNA; FENITOINA; FENITOINA; 100 MG COM CT BL AL PLAS INC X 25; CAZ
1071501710021; FENITOÍNA; FENITOINA; FENITOINA; 100 MG COM CT BL AL PLAS INC X 100; CAZ
1071501230021; FLUCOZEN; FLUCOZEN; NOT FOUND; 100 MG CAP GEL DURA CT ENV AL POLIET X 8; CAZ
1071501230038; FLUCOZEN; FLUCOZEN; NOT FOUND; 150 MG CAP GEL DURA CT ENV AL POLIET X 1 ; CAZ
1071500970011; FLOXINA; FLOXINA; NOT FOUND; 200 MG COM CT ENV KRAFT POLI X 10; CAZ
1071500820011; FLORLAX; FLORLAX; NOT FOUND; GELEIA CT FR PLAS OPC X 100 G; CAZ
