1071501650010; DIUREZIN - C; DIUREZIN C; NOT FOUND; 50MG + 25 MG COMP CX C/30; CAZ
1071501630011; DIUREZIN - A; DIUREZIN A; NOT FOUND; 5MG+50MG COMP CX ENV KRAFT POLIET X 30; CAZ
1071500750021; DIAFURAN; DIAFURAN; NOT FOUND; 2 MG COMP CX C/12; CAZ
1071501420015; DRENIDRA; DRENIDRA; NOT FOUND; 25 MG COM CX C/ 42; CAZ
1071501420023; DRENIDRA; DRENIDRA; NOT FOUND; 50 MG COM CT ENV KRAFT POLIET X 28; CAZ
1071500770020; DORGEN; DORGEN; NOT FOUND; 25 MG/ML SOL INJ CX C/ 5 AMP INC X 3 ML; CAZ
1071501530104; DORFLAN; DORFLAN; NOT FOUND; 15 MG/ML SUSP OR CT FR PLAS OPC GOT X 20 ML; CAZ
1071501530112; DORFLAN; DORFLAN; NOT FOUND; 1 PCC GEL TOP CT BG AL X 60 G; CAZ
1071501530023; DORFLAN; DORFLAN; NOT FOUND; 50 MG DRG CT BL AL PLAS TRANS X 20; CAZ
1071500770012; DORGEN; DORGEN; NOT FOUND; 50 MG COM CT BL AL PLAST INC X 20; CAZ
1071500550020; DILATRAT; DILATRAT; NOT FOUND; 10 MG COMP CT 2 ENV KRAFT POLIET X 12; CAZ
1071500550012; DILATRAT; DILATRAT; NOT FOUND; 5 MG COM SUB-LIN CX 2 ENV KRAFT POLIET X 10; CAZ
1071501370026; DOXSOL; DOXSOL; NOT FOUND; 2 MG COM CT ENV AL PE X 10; CAZ
1071500950010; DANTALIN; DANTALIN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 25; CAZ
1071500950037; DANTALIN; DANTALIN; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 30; CAZ
1071500950045; DANTALIN; DANTALIN; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 100 (EMB HOSP); CAZ
1071500950053; DANTALIN; DANTALIN; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 500 (EMB HOSP); CAZ
1071500180088; DIUREZIN; DIUREZIN; NOT FOUND; 25 MG COM CT ENV KRAFT POLIET X 20; CAZ
1071500180096; DIUREZIN; DIUREZIN; NOT FOUND; 50 MG COMP CX CT 2 ENV KRAFT X 10; CAZ
1071500180126; DIUREZIN; DIUREZIN; NOT FOUND; 25 MG COM CT ENV PAP PLAS X 30; CAZ
1071500180101; DIUREZIN; DIUREZIN; NOT FOUND; 25 MG COM CT ENV PAP PLAS X 500 (EMB HOSP); CAZ
1071500180169; DIUREZIN; DIUREZIN; NOT FOUND; 50 MG COM CT ENV PAP PLAS X 30; CAZ
1071500180177; DIUREZIN; DIUREZIN; NOT FOUND; 50 MG COM CT ENV PAP PLAS X 500 (EMB HOSP); CAZ
1071501640015; DIUREZIN - E; DIUREZIN E; NOT FOUND; 25 MG COM CX C/ 42; CAZ
1071501200023; DEXLERG; DEXLERG; NOT FOUND; 2MG FR 120 ML; CAZ
1071501200015; DEXLERG; DEXLERG; NOT FOUND; 2 MG COMP CT ENV KRAFT POLIET X 20; CAZ
1071501450011; DERMOBAN; DERMOBAN; NOT FOUND; 20MG/G CREM DERM CT BG AL X 15G; CAZ
1071501380013; DORFEN; DORFEN; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; CAZ
1071501380064; DORFEN; DORFEN; NOT FOUND; 32MG/ML SUS OR CT FR PLAS OPC X 60 ML + COPO MEDID; CAZ
1071501380129; DORFEN; DORFEN; NOT FOUND; 160 MG COMP MAST CT BL AL PLAS INC X 24; CAZ
1071501380031; DORFEN; DORFEN; NOT FOUND; 500 MG COM CT 50 STS X 4; CAZ
1071501380056; DORFEN; DORFEN; NOT FOUND; 750 MG COMP CT 50 STR X 4; CAZ
1071501380110; DORFEN; DORFEN; NOT FOUND; 160 MG CX C/ 12 CPDS; CAZ
1071501380080; DORFEN; DORFEN; NOT FOUND; 80 MG COM MAST CT BL AL PLAS INC X 12; CAZ
