1071500350015; RECALPLEX; RECALPLEX; NOT FOUND; XPE FR VD AMB X 150 ML; CAZ
1071500920011; REIDRAMAX; REIDRAMAX; NOT FOUND; PO OR CT 2 SACH X 27.9 G; CAZ
1071501580039; RINOBEN; RINOBEN; NOT FOUND; SOL NASAL CR FR C 30 ML; CAZ
1071501300011; RANITRAT; RANITRAT; NOT FOUND; 150 MG COM CT 5 STR AL X 4; CAZ
1071501300028; RANITRAT; RANITRAT; NOT FOUND; 300 MG COM CT 5 STR AL X 4; CAZ
1071500300030; RELAPAX; RELAPAX; NOT FOUND; 10 MG COM CT ENV KRAFT PE X 20; CAZ
1071500300022; RELAPAX; RELAPAX; NOT FOUND; 5 MG COM CT ENV KRAFT PE X 20; CAZ
1071500300059; RELAPAX; RELAPAX; NOT FOUND; 10 MG COM CT ENV KRAFT PE X 500; CAZ
1071500300040; RELAPAX; RELAPAX; NOT FOUND; 5 MG COM CT ENV KRAFT PE X 500; CAZ
1071501280035; RENIPRESS; RENIPRESS; NOT FOUND; 10 MG COM CT ENV AL POLIET X 30; CAZ
1071501280019; RENIPRESS; RENIPRESS; NOT FOUND; 20 MG COMP CT ENV KRAFT X 20; CAZ
1071501280051; RENIPRESS; RENIPRESS; NOT FOUND; 5 MG COMP CT ENV KRAFT X 30; CAZ
1071500220021; RUBIDEX; RUBIDEX; NOT FOUND; 100 MG/G + 150 MG/G BG PLAS OPC X 30 G; CAZ
