1071500440012; CAZIGERAN; CAZIGERAN; NOT FOUND; DRG CT FR VD AMB X 20; CAZ
1071501440020; CAZIGERAN; CAZIGERAN; NOT FOUND; DRG CT FR VD AMB X 60 DRG; CAZ
1071501480042; CLOVIR; CLOVIR; NOT FOUND; 50 MG/G CREM CT BG AL X 10 G; CAZ
1071501480018; CLOVIR; CLOVIR; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 25; CAZ
1071501400057; CEFABEN; CEFABEN; NOT FOUND; 100MG/ML PO SUS OR EXTEMP CT FR VD AMB X 15ML+CGTS GRADUADO; CAZ
1071501400014; CEFABEN; CEFABEN; NOT FOUND; 500 MG COM REV CT 2 ENV AL X 4; CAZ
1071500800021; CETOZOL; CETOZOL; NOT FOUND; 20 MG/ML SHAMP CT FR PLAS OPC X 100 ML; CAZ
1071500800035; CETOZOL; CETOZOL; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 20 G; CAZ
1071500800019; CETOZOL; CETOZOL; NOT FOUND; 200 MG COM CT ENV AL X 20; CAZ
1071500510021; CONTIABE; CONTIABE; NOT FOUND; 50 MG/ML + 25 MG/ML + 2500 MCG/ML SOL INJ CT 2 AMP VD INC X 2 ML; CAZ
1071501210010; CINARAN; CINARAN; NOT FOUND; 25 MG COM CT STR X 20; CAZ
1071501210029; CINARAN; CINARAN; NOT FOUND; 75 MG COM CT STR X 20; CAZ
1071501040050; CIPRONAL; CIPRONAL; NOT FOUND; 500 MG COMP VER CX FR VD AMB X 6; CAZ
1071501260026; CALZEM; CALZEM; NOT FOUND; 60 MG COM CT ENV AL X 25; CAZ
1071500930016; CIRLEG; CIRLEG; NOT FOUND; 10 COMP CX C/06; CAZ
1071500310021; CAZIDERM; CAZIDERM; NOT FOUND; 2 MG/ML SOL TOP FR C/100 ML; CAZ
1071500310038; CAZIDERM; CAZIDERM; NOT FOUND; 2 MG/ML SOL TOP FR C/30 ML; CAZ
1071500310046; CAZIDERM; CAZIDERM; NOT FOUND; 2 MG/ML SOL TOP FR C/500 ML; CAZ
1071500310011; CAZIDERM; CAZIDERM; NOT FOUND; 2 MG/G POM DERM CT BG AL X 20 G; CAZ
