1071500170058; PARAZOL; PARAZOL; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 10 ML; CAZ
1071500170041; PARAZOL; PARAZOL; NOT FOUND; 200 MG COM CT ENV AL X 2; CAZ
1071501700018; PRURIDOL; PRURIDOL; NOT FOUND; 250 MG/ML SOL TOP CT FR VD AMB X 100 ML; CAZ
1071500830010; PROMETIDINE; PROMETIDINE; NOT FOUND; 200 MG COMP CT 5 ENV X 8; CAZ
1071501020017; PRAMINAN; PRAMINAN; NOT FOUND; 25 MG COM CT ENV AL X 20; CAZ
1071500760051; PRANOLAL; PRANOLAL; NOT FOUND; 10 MG COM CT FR VD AMB X 50; CAZ
1071500760017; PRANOLAL; PRANOLAL; NOT FOUND; 40 MG COM CT FR VD AMB X 50; CAZ
1071500760025; PRANOLAL; PRANOLAL; NOT FOUND; 80 MG COM CT FR VD AMB X 20; CAZ
1071500590014; PARARTRIN; PARARTRIN; NOT FOUND; 300 MG COMP CX 3 ENV X 10; CAZ
1071500590022; PARARTRIN; PARARTRIN; NOT FOUND; 600 MG COM CX 3  ENV  X 10; CAZ
1071501110024; PRECORTIL; PRECORTIL; NOT FOUND; 20 MG COM CT ENV KRAFT POLIET X 20; CAZ
1071501110016; PRECORTIL; PRECORTIL; NOT FOUND; 5 MG COM CT ENV KRAFT POLIET X 20 ; CAZ
