1071500670034; ASMAFIN; ASMAFIN; NOT FOUND; 240MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; CAZ
1071500670018; ASMAFIN; ASMAFIN; NOT FOUND; 100MG COMP CT 2 ENV AL POLIET X 10; CAZ
1071500670026; ASMAFIN; ASMAFIN; NOT FOUND; 200MG COMP CT 2 ENV AL POLIET X 10; CAZ
1071500870016; ANGIODARONA; ANGIODARONA; NOT FOUND; 200 MG COMP CT 2 ENV X 10; CAZ
1071501510014; AMOXACIN; AMOXACIN; NOT FOUND; 25 MG/ML PO SUS OR EXT CT FR VD AMB X 150 ML + COPO DOSADOR; CAZ
1071501510049; AMOXACIN; AMOXACIN; NOT FOUND; 50 MG/ML PO SUS OR EXT CT FR VD AMB X 150 ML + COPO DOSADOR; CAZ
1071501510022; AMOXACIN; AMOXACIN; NOT FOUND; 25 MG/ML PO SUS OR EXT CT FR VD AMB X 80 ML + COPO DOSADOR; CAZ
1071501510030; AMOXACIN; AMOXACIN; NOT FOUND; 50 MG/ML PO SUS OR EXT CT FR VD AMB X 60 ML + COPO DOSADOR; CAZ
1071501510049; AMOXACIN; AMOXACIN; NOT FOUND; 500 MG/5 ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS; CAZ
1071501510065; AMOXACIN; AMOXACIN; NOT FOUND; 250 MG CAP GEL DURA CT BL AL PLAS INC X 12; CAZ
1071501510073; AMOXACIN; AMOXACIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; CAZ
1071501510081; AMOXACIN; AMOXACIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; CAZ
1071501240017; ATECARD; ATECARD; NOT FOUND; 100 MG COMP CT ENV AL POLIET X 30; CAZ
1071501240025; ATECARD; ATECARD; NOT FOUND; 50 MG COMP CT ENV AL POLIET X 30; CAZ
1071500680021; ANFLAT; ANFLAT; NOT FOUND; 75 MG/ML SOL OR GOTAS CT FR PLAS OPC X 10 ML ; CAZ
1071500680013; ANFLAT; ANFLAT; NOT FOUND; 40 MG COM CX 2 ENV KRAFT POLIET X 10; CAZ
1071500010018; ALGICÊ; ALGICE; NOT FOUND; DRG + DRG CT 2 BL AL PLAS X 10; CAZ
1071501150026; ASMANON; ASMANON; NOT FOUND; 0.2 MG/ML XPE CT FR VD AMB X 150 ML; CAZ
1071501150018; ASMANON; ASMANON; NOT FOUND; 1 MG COM CT ENV KRAFT POLIET X 20; CAZ
1071501390019; ALIVIAN; ALIVIAN; NOT FOUND; 7.5 MG COM CT FR VD AMB X 10; CAZ
1071501120038; ALBISTIN; ALBISTIN; NOT FOUND; 100.000 UI/ML SUS OR CT FR VD AMB X 40 ML; CAZ
1071501120011; ALBISTIN; ALBISTIN; NOT FOUND; 25.000 UI/G CREM VAG CT BG AL X 60 G; CAZ
1071501120021; ALBISTIN; ALBISTIN; NOT FOUND; 500.000 UI DRG CT  ENV AL X 16; CAZ
1071501610027; ALIVBABY; ALIVBABY; NOT FOUND; 100.000U/G + 200MG/G BG 60 G; CAZ
1071501610019; ALIVBABY; ALIVBABY; NOT FOUND; 100.000U/G + 200MG/G BG 20 G; CAZ
